Proxy depth,Published temperature,Published age,Marine04 age,Marine09 age,Age model error,,14C depth,Material,14C age,14C error,忖R,Marine04 age,,,Marine09 age,,
41,22.0,1120,1114,1121,182,,328,G. bulloides,14860,60,100,17200,16710,17647,17456,17123,17834
43,20.8,1166,1164,1170,180,,332,G. bulloides,15770,90,100,18661,18181,18852,18544,18044,18735
45,21.5,1213,1213,1219,174,,350,G. bulloides,16490,80,100,19164,18973,19392,19146,18889,19408
47,21.4,1260,1263,1269,162,,412,G. bulloides,19960,80,100,23150,22696,23582,23211,22659,23585
49,21.8,1306,1314,1319,144,,419,G. bulloides,20950,140,100,24485,24011,25274,24396,23934,24879
51,21.3,1353,1365,1368,116,,,,,,,,,,,,
53,21.3,1400,1418,1418,68,,,,,,,,,,,,
55,20.8,1515,1528,1533,156,,,,,,,,,,,,
57,21.8,1630,1642,1649,190,,,,,,,,,,,,
59,19.4,1745,1757,1764,201,,,,,,,,,,,,
61,19.8,1860,1873,1880,192,,,,,,,,,,,,
63,19.1,1975,1991,1996,161,,,,,,,,,,,,
65,20.5,2090,2112,2113,85,,,,,,,,,,,,
67,20.7,2270,2277,2285,199,,,,,,,,,,,,
69,21.0,2451,2448,2457,257,,,,,,,,,,,,
71,21.1,2632,2619,2630,295,,,,,,,,,,,,
73,20.6,2813,2790,2803,318,,,,,,,,,,,,
75,19.4,2994,2963,2975,332,,,,,,,,,,,,
77,20.5,3175,3135,3148,336,,,,,,,,,,,,
79,19.8,3355,3308,3321,331,,,,,,,,,,,,
81,21.2,3536,3481,3494,317,,,,,,,,,,,,
83,20.8,3717,3655,3666,293,,,,,,,,,,,,
85,21.8,3898,3829,3839,254,,,,,,,,,,,,
87,21.9,4079,4004,4012,195,,,,,,,,,,,,
89,21.8,4260,4184,4186,72,,,,,,,,,,,,
91,21.0,4321,4196,4198,84,,,,,,,,,,,,
93,21.5,4383,4209,4212,90,,,,,,,,,,,,
95,20.9,4445,4222,4226,93,,,,,,,,,,,,
97,21.1,4507,4235,4240,92,,,,,,,,,,,,
99,20.4,4568,4249,4255,87,,,,,,,,,,,,
101,20.2,4630,4263,4270,77,,,,,,,,,,,,
103,20.7,4692,4298,4308,110,,,,,,,,,,,,
105,21.0,4754,4336,4346,130,,,,,,,,,,,,
109,20.9,4877,4412,4422,150,,,,,,,,,,,,
111,20.8,4939,4450,4460,152,,,,,,,,,,,,
113,21.4,5001,4489,4498,149,,,,,,,,,,,,
115,21.0,5062,4527,4536,142,,,,,,,,,,,,
117,21.3,5124,4566,4574,129,,,,,,,,,,,,
119,20.9,5186,4606,4612,109,,,,,,,,,,,,
121,20.3,5248,4648,4651,76,,,,,,,,,,,,
123,19.9,5310,5298,5301,104,,,,,,,,,,,,
125,21.1,5434,5418,5426,182,,,,,,,,,,,,
127,19.8,5559,5541,5551,232,,,,,,,,,,,,
129,19.8,5683,5665,5677,268,,,,,,,,,,,,
131,17.9,5808,5790,5802,294,,,,,,,,,,,,
135,17.9,6057,6040,6053,328,,,,,,,,,,,,
137,17.7,6182,6166,6179,337,,,,,,,,,,,,
139,17.2,6306,6291,6304,342,,,,,,,,,,,,
141,18.7,6431,6417,6430,343,,,,,,,,,,,,
143,18.0,6555,6543,6555,339,,,,,,,,,,,,
145,18.6,6680,6669,6681,331,,,,,,,,,,,,
147,18.3,6804,6795,6807,318,,,,,,,,,,,,
149,18.3,6929,6922,6932,299,,,,,,,,,,,,
151,17.1,7054,7048,7058,274,,,,,,,,,,,,
154,17.8,7240,7239,7246,220,,,,,,,,,,,,
156,17.0,7365,7367,7372,164,,,,,,,,,,,,
158,17.6,7490,7499,7498,53,,,,,,,,,,,,
160,16.3,7530,7530,7532,93,,,,,,,,,,,,
164,16.5,7610,7597,7601,133,,,,,,,,,,,,
166,16.6,7650,7631,7635,144,,,,,,,,,,,,
168,17.0,7690,7665,7669,151,,,,,,,,,,,,
170,17.0,7730,7699,7704,155,,,,,,,,,,,,
174,17.3,7810,7768,7772,151,,,,,,,,,,,,
176,16.7,7850,7802,7807,144,,,,,,,,,,,,
178,17.2,7890,7837,7841,133,,,,,,,,,,,,
180,16.0,7930,7872,7875,117,,,,,,,,,,,,
182,16.4,7970,7908,7910,94,,,,,,,,,,,,
184,15.7,8010,7946,7944,56,,,,,,,,,,,,
186,17.5,8211,8017,8016,59,,,,,,,,,,,,
190,17.6,8613,8487,8497,280,,,,,,,,,,,,
192,17.4,8814,8726,8737,313,,,,,,,,,,,,
194,17.8,9015,8966,8978,325,,,,,,,,,,,,
198,19.0,9417,9448,9461,290,,,,,,,,,,,,
202,18.3,9820,9940,9944,118,,,,,,,,,,,,
206,18.0,10037,10160,10170,228,,,,,,,,,,,,
208,18.2,10145,10272,10283,258,,,,,,,,,,,,
210,17.0,10254,10386,10397,279,,,,,,,,,,,,
212,17.2,10362,10499,10510,293,,,,,,,,,,,,
214,17.9,10471,10613,10624,302,,,,,,,,,,,,
218,17.9,10688,10841,10851,304,,,,,,,,,,,,
222,18.3,10905,11070,11078,285,,,,,,,,,,,,
224,18.1,11014,11185,11191,267,,,,,,,,,,,,
226,19.1,11122,11300,11305,241,,,,,,,,,,,,
228,17.7,11231,11417,11418,204,,,,,,,,,,,,
230,18.2,11340,11536,11533,150,,,,,,,,,,,,
232,17.8,11406,11641,11639,203,,,,,,,,,,,,
234,18.0,11473,11748,11746,239,,,,,,,,,,,,
238,17.8,11606,11966,11959,282,,,,,,,,,,,,
242,17.5,11739,12184,12172,301,,,,,,,,,,,,
246,17.2,11872,12404,12386,299,,,,,,,,,,,,
250,17.6,12005,12624,12600,276,,,,,,,,,,,,
254,18.1,12138,12846,12813,226,,,,,,,,,,,,
258,17.0,12271,13070,13027,117,,,,,,,,,,,,
260,17.2,12338,13130,13085,53,,,,,,,,,,,,
262,16.6,12404,13135,13093,60,,,,,,,,,,,,
266,17.4,12537,13146,13110,66,,,,,,,,,,,,
270,17.3,12670,13158,13128,66,,,,,,,,,,,,
274,17.1,12803,13170,13146,58,,,,,,,,,,,,
278,17.0,12936,13185,13165,42,,,,,,,,,,,,
280,16.9,12990,13288,13295,90,,,,,,,,,,,,
282,18.3,13030,13341,13348,127,,,,,,,,,,,,
284,17.7,13070,13395,13400,148,,,,,,,,,,,,
286,17.0,13110,13450,13453,157,,,,,,,,,,,,
290,17.3,13190,13561,13558,151,,,,,,,,,,,,
292,18.2,13230,13618,13611,133,,,,,,,,,,,,
294,18.9,13270,13677,13664,101,,,,,,,,,,,,
296,18.3,13354,13774,13757,168,,,,,,,,,,,,
298,18.0,13438,13874,13851,207,,,,,,,,,,,,
302,17.8,13606,14076,14038,245,,,,,,,,,,,,
308,17.4,13859,14382,14319,236,,,,,,,,,,,,
312,18.6,14027,14589,14507,180,,,,,,,,,,,,
316,17.6,14146,14684,14625,160,,,,,,,,,,,,
320,17.8,14248,14740,14717,160,,,,,,,,,,,,
322,17.0,14299,14769,14762,155,,,,,,,,,,,,
324,16.2,14350,14800,14807,145,,,,,,,,,,,,
326,17.9,14800,15979,16143,386,,,,,,,,,,,,
328,14.8,17420,17188,17481,240,,,,,,,,,,,,
332,15.0,17756,18523,18390,166,,,,,,,,,,,,
336,15.0,18092,18664,18559,206,,,,,,,,,,,,
340,14.7,18429,18810,18730,216,,,,,,,,,,,,
344,15.2,18765,18957,18901,203,,,,,,,,,,,,
348,15.0,19101,19106,19073,159,,,,,,,,,,,,
350,15.3,19270,19184,19159,111,,,,,,,,,,,,
352,14.7,19366,19305,19287,200,,,,,,,,,,,,
356,14.7,19558,19556,19541,295,,,,,,,,,,,,
360,15.3,19751,19809,19797,356,,,,,,,,,,,,
364,14.9,19943,20062,20052,399,,,,,,,,,,,,
368,14.4,20136,20316,20307,430,,,,,,,,,,,,
372,13.6,20328,20571,20562,452,,,,,,,,,,,,
376,14.4,20521,20826,20817,466,,,,,,,,,,,,
380,15.2,20713,21081,21073,473,,,,,,,,,,,,
384,16.7,20905,21337,21328,473,,,,,,,,,,,,
388,16.8,21098,21592,21583,466,,,,,,,,,,,,
392,16.1,21290,21849,21839,452,,,,,,,,,,,,
396,15.5,21483,22105,22094,430,,,,,,,,,,,,
400,15.9,21675,22362,22350,400,,,,,,,,,,,,
404,15.6,21868,22620,22605,358,,,,,,,,,,,,
408,14.9,22060,22879,22861,301,,,,,,,,,,,,
412,16.9,22253,23143,23117,222,,,,,,,,,,,,
416,15.4,22445,23997,23849,345,,,,,,,,,,,,
420,15.6,22638,24708,24452,336,,,,,,,,,,,,
424,17.0,22830,24936,24679,393,,,,,,,,,,,,
428,17.3,23023,25165,24906,444,,,,,,,,,,,,
