Proxy depth,TEX86,Published temperature,Published age,Marine04 age,Marine09 age,Age model error,,14C depth,Material,14C age,14C error,忖R,Marine04 age,,,Marine09 age,,
50.0,0.455,28.5,5040,5058,5038,317,,,,,,,,,,,,
52.5,0.437,27.3,5380,5397,5381,247,,,,,,,,,,,,
55.0,0.467,29.3,5730,5729,5726,93,,,,,,,,,,,,
57.5,0.462,28.9,6120,6142,6125,258,,,,,,,,,,,,
62.5,0.455,28.5,6920,6947,6925,339,,,,,,,,,,,,
65.0,0.446,27.8,7310,7347,7325,323,,,,,,,,,,,,
67.5,0.444,27.7,7710,7745,7726,262,,,,,,,,,,,,
70.0,0.427,26.6,8110,8133,8128,96,,,,,,,,,,,,
72.5,0.442,27.6,8370,8389,8374,204,,,,,,,,,,,,
75.0,0.441,27.5,8630,8637,8622,236,,,,,,,,,,,,
77.5,0.435,27.1,8880,8882,8869,223,,,,,,,,,,,,
80.0,0.425,26.5,9140,9120,9118,159,,,,,,,,,,,,
82.5,0.432,26.9,9470,9478,9463,272,,,,,,,,,,,,
85.0,0.441,27.5,9800,9828,9809,326,,,,,,,,,,,,
87.5,0.436,27.2,10140,10176,10156,349,,,,,,,,,,,,
90.0,0.442,27.6,10470,10524,10503,350,,,,,,,,,,,,
92.5,0.447,27.9,10800,10869,10850,327,,,,,,,,,,,,
95.0,0.442,27.6,11130,11214,11197,278,,,,,,,,,,,,
97.5,0.441,27.6,11460,11542,11531,204,,,,,,,,,,,,
100.0,0.444,27.7,11690,11778,11754,241,,,,,,,,,,,,
105.0,0.472,29.6,12150,12219,12173,285,,,,,,,,,,,,
107.5,0.483,30.3,12380,12437,12383,280,,,,,,,,,,,,
110.0,0.470,29.5,12610,12654,12592,257,,,,,,,,,,,,
112.5,0.438,27.4,12840,12869,12802,209,,,,,,,,,,,,
115.0,0.448,28.0,13080,13078,13013,102,,,,,,,,,,,,
117.5,0.446,27.9,13360,13381,13326,229,,,,,,,,,,,,
120.0,0.436,27.2,13650,13678,13639,281,,,,,,,,,,,,
122.5,0.419,26.1,13940,13972,13953,298,,,,,,,,,,,,
125.0,0.420,26.2,14230,14264,14267,290,,,,,,,,,,,,
127.5,0.419,26.1,14520,14552,14582,265,,,,,,,,,,,,
130.0,0.448,28.0,14800,14835,14902,296,,,,,,,,,,,,
133.0,0.455,28.4,15130,15167,15286,325,,,,,,,,,,,,
135.0,0.482,30.3,15350,15387,15542,333,,,,,,,,,,,,
137.5,0.460,28.8,15630,15661,15862,331,,,,,,,,,,,,
140.0,0.486,30.6,15900,15932,16182,316,,,,,,,,,,,,
142.5,0.474,29.7,16180,16206,16498,294,,,,,,,,,,,,
145.0,0.487,30.6,16540,16534,16776,337,,,,,,,,,,,,
147.5,0.464,29.1,16890,16865,17051,364,,,,,,,,,,,,
150.0,0.452,28.3,17250,17194,17326,372,,,,,,,,,,,,
152.5,0.438,27.4,17610,17522,17602,362,,,,,,,,,,,,
155.0,0.416,25.8,17960,17849,17878,334,,,,,,,,,,,,
157.5,0.412,25.6,18320,18174,18154,281,,,,,,,,,,,,
160.0,0.395,24.5,18680,18491,18432,189,,,,,,,,,,,,
162.5,0.392,24.3,18790,18734,18696,188,,,,,,,,,,,,
165.0,0.390,24.1,18910,18962,18958,146,,,,,,,,,,,,
167.5,0.389,24.1,19040,19093,19100,183,,,,,,,,,,,,
170.0,0.395,24.4,19160,19218,19242,206,,,,,,,,,,,,
172.5,0.398,24.7,19290,19343,19385,216,,,,,,,,,,,,
175.0,0.391,24.2,19420,19466,19527,217,,,,,,,,,,,,
177.5,0.395,24.5,19550,19589,19670,205,,,,,,,,,,,,
180.0,0.395,24.5,19680,19706,19813,182,,,,,,,,,,,,
182.5,0.406,25.2,20290,20305,20386,341,,,,,,,,,,,,
185.0,0.387,23.9,20900,20893,20961,424,,,,,,,,,,,,
187.5,0.385,23.8,21500,21478,21536,468,,,,,,,,,,,,
190.0,0.403,25.0,22110,22062,22111,487,,,,,,,,,,,,
192.5,0.397,24.6,22720,22644,22687,482,,,,,,,,,,,,
