Proxy depth,UK'37,Published temperature,Published age,Marine04 age,Marine09 age,Age model error,,14C depth,Material,14C age,14C error,忖R,Marine04 age,,,Marine09 age,,,
165,0.493,13.3,11073,11354,11343,284,,,,,,,,,,,,,
170,0.494,13.4,11337,11560,11541,291,,,,,,,,,,,,,
175,0.436,11.7,11595,11768,11739,290,,,,,,,,,,,,,
180,0.438,11.7,11847,11979,11934,286,,,,,,,,,,,,,
185,0.498,13.5,12094,12283,12232,226,,,,,,,,,,,,,
190,0.481,13,12336,12579,12519,162,,,,,,,,,,,,,
195,0.533,14.5,12573,12782,12721,172,,,,,,,,,,,,,
200,0.538,14.7,12804,12991,12917,131,,,,,,,,,,,,,
210,0.561,15.4,13252,13654,13677,198,,,,,,,,,,,,,
220,0.565,15.5,13681,13949,13987,220,,,,,,,,,,,,,
225,0.565,15.5,13888,14097,14140,221,,,,,,,,,,,,,
230,0.553,15.1,14091,14239,14284,215,,,,,,,,,,,,,
240,0.542,14.8,14485,14407,14463,209,,,,,,,,,,,,,
245,0.524,14.3,14675,14492,14550,202,,,,,,,,,,,,,
250,0.541,14.8,14861,14587,14655,200,,,,,,,,,,,,,
255,0.488,13.2,15044,14774,14922,231,,,,,,,,,,,,,
260,0.461,12.4,15223,14962,15187,251,,,,,,,,,,,,,
270,0.446,12,15571,15518,15777,293,,,,,,,,,,,,,
275,0.477,12.9,15740,15799,16071,291,,,,,,,,,,,,,
280,0.474,12.8,15906,16085,16364,274,,,,,,,,,,,,,
285,0.456,12.3,16069,16232,16573,270,,,,,,,,,,,,,
290,0.442,11.9,16229,16383,16776,263,,,,,,,,,,,,,
295,0.431,11.5,16387,16536,16979,258,,,,,,,,,,,,,
300,0.443,11.9,16543,16692,17159,261,,,,,,,,,,,,,
302,0.457,12.3,16604,16756,17203,267,,,,,,,,,,,,,
306,0.418,11.1,16726,16884,17290,281,,,,,,,,,,,,,
311,0.449,12.1,16877,17044,17400,300,,,,,,,,,,,,,
314,0.438,11.7,16967,17140,17465,311,,,,,,,,,,,,,
319,0.423,11.3,17115,17300,17574,329,,,,,,,,,,,,,
324,0.447,12,17261,17460,17683,345,,,,,,,,,,,,,
330,0.414,11,17435,17649,17815,353,,,,,,,,,,,,,
335,0.469,12.6,17578,17779,17918,338,,,,,,,,,,,,,
340,0.499,13.5,17720,17911,18020,318,,,,,,,,,,,,,
345,0.503,13.7,17862,18045,18120,298,,,,,,,,,,,,,
350,0.507,13.8,18003,18179,18220,277,,,,,,,,,,,,,
355,0.526,14.3,18143,18314,18320,256,,,,,,,,,,,,,
360,0.517,14.1,18282,18454,18415,233,,,,,,,,,,,,,
365,0.522,14.2,18422,18675,18662,284,,,,,,,,,,,,,
370,0.504,13.7,18561,18898,18907,318,,,,,,,,,,,,,
375,0.508,13.8,18701,19122,19152,343,,,,,,,,,,,,,
380,0.522,14.2,18841,19346,19397,359,,,,,,,,,,,,,
385,0.508,13.8,18981,19571,19641,369,,,,,,,,,,,,,
390,0.519,14.1,19121,19795,19885,371,,,,,,,,,,,,,
395,0.515,14,19263,20021,20129,366,,,,,,,,,,,,,
400,0.546,14.9,19405,20248,20372,345,,,,,,,,,,,,,
405,0.520,14.1,19548,20501,20648,409,,,,,,,,,,,,,
415,0.505,13.7,19838,21019,21169,518,,,,,,,,,,,,,
426,0.505,13.7,20164,21590,21744,615,,,,,,,,,,,,,
435,0.508,13.8,20436,22057,22215,685,,,,,,,,,,,,,
445,0.490,13.3,20746,22576,22738,755,,,,,,,,,,,,,
453,0.482,13,21000,22992,23157,806,,,,,,,,,,,,,
459,0.466,12.6,21195,23304,23471,842,,,,,,,,,,,,,
469,0.468,12.6,21527,23823,23995,900,,,,,,,,,,,,,
479,0.492,13.3,21869,24343,24519,954,,,,,,,,,,,,,
488,0.490,13.3,22187,24811,24991,1000,,,,,,,,,,,,,
499,0.465,12.5,22587,25382,25567,1054,,,,,,,,,,,,,
509,0.416,11.1,22964,25902,26091,1100,,,,,,,,,,,,,
519,0.417,11.1,23353,26422,26616,1145,,,,,,,,,,,,,
529,0.458,12.3,23755,26942,27140,1187,,,,,,,,,,,,,
538,0.465,12.5,24127,27410,27612,1225,,,,,,,,,,,,,
548,0.466,12.6,24552,27930,28137,1265,,,,,,,,,,,,,
558,0.461,12.4,24989,28450,28661,1304,,,,,,,,,,,,,
568,0.398,10.6,25438,28970,29186,1342,,,,,,,,,,,,,
579,0.378,10,25945,29542,29763,1382,,,,,,,,,,,,,
589,0.469,12.7,26417,,,,,,,,,,,,,,,,
597,0.478,12.9,26802,,,,,,,,,,,,,,,,
602,0.480,13,27045,,,,,,,,,,,,,,,,
608,0.479,12.9,27340,,,,,,,,,,,,,,,,
619,0.487,13.2,27887,,,,,,,,,,,,,,,,
629,0.477,12.9,28391,,,,,,,,,,,,,,,,
639,0.410,10.9,28899,,,,,,,,,,,,,,,,
648,0.469,12.6,29359,,,,,,,,,,,,,,,,
658,0.471,12.7,29871,,,,,,,,,,,,,,,,
668,0.428,11.5,30382,,,,,,,,,,,,,,,,
679,0.377,9.9,30939,,,,,,,,,,,,,,,,
689,0.384,10.2,31439,,,,,,,,,,,,,,,,
