Proxy depth,Mg/Ca,Published temperature,Published age,Age model error
678.5,2.030,10.9,28964,579
680.5,2.211,11.8,29063,581
682.5,1.864,10.1,29163,583
684.5,1.869,10.1,29262,585
686.5,2.310,12.2,29362,587
688.5,2.080,11.2,29461,589
690.5,1.938,10.5,29561,591
692.5,2.576,13.3,29660,593
694.5,2.368,12.5,29718,594
696.5,1.893,10.2,29776,596
698.5,1.841,10.0,29834,597
700.5,1.618,8.7,29892,598
702.5,1.572,8.4,29949,599
704.5,1.905,10.3,30007,600
706.5,1.818,9.8,30065,601
708.5,1.888,10.2,30123,602
710.5,1.813,9.8,30181,604
714.5,1.721,9.3,30297,606
716.5,1.990,10.7,30355,607
718.5,1.749,9.4,30413,608
720.5,2.180,11.7,30470,609
722.5,1.729,9.3,30528,611
724.5,2.067,11.1,30586,612
726.5,1.982,10.7,30644,613
728.5,1.863,10.1,30702,614
734.5,1.544,8.2,30934,619
736.5,1.535,8.1,31021,620
742.5,1.573,8.4,31282,626
744.5,1.604,8.6,31369,627
750.5,1.564,8.3,31630,633
752.5,1.688,9.1,31717,634
754.5,1.710,9.2,31804,636
756.5,1.575,8.4,31891,638
758.5,1.790,9.7,31978,640
760.5,1.715,9.3,32065,641
762.5,1.719,9.3,32152,643
766.5,1.637,8.8,32326,647
768.5,1.666,9.0,32413,648
770.5,1.808,9.8,32500,650
772.5,1.911,10.3,32748,655
774.5,1.837,9.9,32996,660
776.5,1.831,9.9,33244,665
778.5,2.258,12.0,33492,670
780.5,1.713,9.2,33740,675
784.5,1.802,9.7,34052,681
786.5,1.950,10.5,34207,684
788.5,1.905,10.3,34363,687
790.5,2.050,11.0,34519,690
792.5,2.032,10.9,34675,693
794.5,1.930,10.4,34830,697
796.5,2.176,11.6,34986,700
798.5,2.208,11.8,35142,703
800.5,2.082,11.2,35259,705
804.5,1.996,10.8,35415,708
806.5,1.904,10.3,35492,710
808.5,2.081,11.2,35570,711
810.5,3.443,16.2,35648,713
812.5,2.571,13.3,35726,715
814.5,2.272,12.1,35804,716
816.5,2.144,11.5,35882,718
818.5,1.899,10.3,35959,719
820.5,2.614,13.5,36037,721
822.5,2.185,11.7,36115,722
824.5,2.054,11.1,36193,724
826.5,2.046,11.0,36271,725
828.5,2.568,13.3,36349,727
830.5,2.344,12.4,36426,729
832.5,2.100,11.3,36504,730
834.5,2.078,11.2,36582,732
836.5,2.082,11.2,36660,733
838.5,2.146,11.5,37008,740
840.5,3.067,15.1,37356,747
842.5,2.726,13.9,37704,754
844.5,2.355,12.4,38052,761
846.5,2.463,12.9,38400,768
848.5,2.184,11.7,38492,770
850.5,2.742,13.9,38584,772
852.5,1.996,10.8,38676,774
856.5,1.978,10.7,38860,777
858.5,2.355,12.4,39160,783
860.5,1.988,10.7,39460,789
862.5,1.796,9.7,39760,795
864.5,2.264,12.0,40060,801
866.5,1.953,10.5,40360,807
868.5,2.234,11.9,40660,813
870.5,1.848,10.0,40960,819
872.5,1.896,10.3,41260,825
874.5,2.331,12.3,41560,831
876.5,1.748,9.4,41860,837
878.5,1.863,10.1,42160,843
880.5,1.902,10.3,42460,849
882.5,1.934,10.5,42760,855
884.5,1.750,9.5,43060,861
886.5,2.465,12.9,43342,867
888.5,2.420,12.7,43624,872
890.5,2.288,12.1,43907,878
892.5,2.190,11.7,44189,884
894.5,2.351,12.4,44471,889
896.5,2.198,11.7,44753,895
898.5,2.649,13.6,45036,901
902.5,2.371,12.5,45600,912
904.5,1.843,10.0,45830,917
906.5,2.086,11.2,46060,921
908.5,1.813,9.8,46290,926
910.5,1.942,10.5,46520,930
912.5,2.297,12.2,46750,935
914.5,2.205,11.8,46980,940
916.5,2.204,11.8,47210,944
918.5,2.705,13.8,47440,949
920.5,2.181,11.7,47670,953
922.5,2.104,11.3,47900,958
926.5,2.243,11.9,48360,967
928.5,2.170,11.6,48590,972
930.5,2.218,11.8,48820,976
934.5,2.340,12.4,49280,986
936.5,2.710,13.8,49742,995
938.5,2.081,11.2,50204,1004
940.5,2.221,11.8,50667,1013
942.5,2.397,12.6,51129,1023
944.5,2.371,12.5,51591,1032
946.5,2.110,11.3,52053,1041
948.5,1.952,10.5,52516,1050
950.5,2.238,11.9,52978,1060
952.5,2.140,11.5,53440,1069
954.5,1.812,9.8,53789,1076
958.5,1.997,10.8,54488,1090
960.5,2.014,10.9,54837,1097
962.5,2.424,12.7,55187,1104
964.5,2.164,11.6,55536,1111
966.5,2.183,11.7,55885,1118
968.5,2.265,12.0,56235,1125
970.5,2.127,11.4,56584,1132
972.5,2.164,11.6,56933,1139
974.5,2.511,13.1,57283,1146
976.5,2.039,11.0,57632,1153
978.5,2.228,11.9,57981,1160
980.5,2.439,12.8,58331,1167
982.5,2.197,11.7,58680,1174
984.5,2.785,14.1,59029,1181
986.5,2.629,13.5,59379,1188
990.5,2.856,14.4,60077,1202
994.5,2.464,12.9,60776,1216
