Proxy depth,Mg/Ca,Published temperature,Published age,Marine04 age,Marine09 age,Age model error,,14C depth,Material,14C age,14C error,忖R,Marine04 age,,,Marine09 age,,
(cm),(mmol/mol),(～C),(yr BP),(yr BP),(yr BP),"(yr, 1考)",,(cm),,(yr BP),"(yr, 1考)",(yr),median (yr BP),2考 lower (yr BP),2考 upper (yr BP),median (yr BP),2考 lower (yr BP),2考 upper (yr BP)
275,2.024,21.9,30300,30976,NaN,633,,,,,,,,,,,,
277,2.172,22.7,30500,31203,NaN,642,,,,,,,,,,,,
279,2.164,22.7,30700,31430,NaN,649,,,,,,,,,,,,
281,2.072,22.2,30900,31656,NaN,654,,,,,,,,,,,,
283,2.205,22.9,31100,31883,NaN,657,,,,,,,,,,,,
285,2.287,23.3,31300,32110,NaN,659,,,,,,,,,,,,
287,2.315,23.4,31600,32337,NaN,659,,,,,,,,,,,,
289,2.103,22.3,31800,32563,NaN,657,,,,,,,,,,,,
291,2.251,23.1,32000,32790,NaN,653,,,,,,,,,,,,
293,2.283,23.2,32200,33017,NaN,647,,,,,,,,,,,,
295,2.237,23.0,32400,33243,NaN,640,,,,,,,,,,,,
297,2.253,23.1,32600,33470,NaN,631,,,,,,,,,,,,
299,2.026,21.9,32900,33696,NaN,619,,,,,,,,,,,,
301,2.319,23.4,33100,33923,NaN,606,,,,,,,,,,,,
303,2.234,23.0,33300,34150,NaN,590,,,,,,,,,,,,
305,2.186,22.8,33500,34376,NaN,572,,,,,,,,,,,,
307,1.931,21.4,33800,34603,NaN,551,,,,,,,,,,,,
309,2.125,22.5,34000,34830,NaN,528,,,,,,,,,,,,
311,2.132,22.5,34200,35056,NaN,501,,,,,,,,,,,,
313,2.347,23.6,34400,35283,NaN,470,,,,,,,,,,,,
315,2.162,22.6,34700,35509,NaN,434,,,,,,,,,,,,
317,2.175,22.7,34900,35736,NaN,393,,,,,,,,,,,,
319,2.145,22.6,35100,35962,NaN,345,,,,,,,,,,,,
321,2.243,23.1,35400,NaN,NaN,NaN,,,,,,,,,,,,
323,2.236,23.0,35600,NaN,NaN,NaN,,,,,,,,,,,,
325,2.278,23.2,35900,NaN,NaN,NaN,,,,,,,,,,,,
327,2.258,23.1,36100,NaN,NaN,NaN,,,,,,,,,,,,
329,2.354,23.6,36300,NaN,NaN,NaN,,,,,,,,,,,,
331,2.218,22.9,36600,NaN,NaN,NaN,,,,,,,,,,,,
333,2.352,23.6,36800,NaN,NaN,NaN,,,,,,,,,,,,
335,2.363,23.6,37100,NaN,NaN,NaN,,,,,,,,,,,,
337,2.253,23.1,37300,NaN,NaN,NaN,,,,,,,,,,,,
339,2.130,22.5,37600,NaN,NaN,NaN,,,,,,,,,,,,
341,2.237,23.0,37800,NaN,NaN,NaN,,,,,,,,,,,,
343,2.154,22.6,38100,NaN,NaN,NaN,,,,,,,,,,,,
345,2.031,22.0,38400,NaN,NaN,NaN,,,,,,,,,,,,
347,1.999,21.8,38600,NaN,NaN,NaN,,,,,,,,,,,,
349,2.014,21.9,38900,NaN,NaN,NaN,,,,,,,,,,,,
351,1.970,21.6,39100,NaN,NaN,NaN,,,,,,,,,,,,
353,2.116,22.4,39400,NaN,NaN,NaN,,,,,,,,,,,,
355,2.112,22.4,39700,NaN,NaN,NaN,,,,,,,,,,,,
357,2.220,22.9,39900,NaN,NaN,NaN,,,,,,,,,,,,
