Proxy depth,UK'37,Published temperature,Published age,Marine04 age,Marine09 age,Age model error,,14C depth,Material,14C age,14C error,忖R,Marine04 age,,,Marine09 age,,
(cm),,(～C),(yr BP),(yr BP),(yr BP),"(yr, 1考)",,(cm),,(yr BP),"(yr, 1考)",(yr),median (yr BP),2考 lower (yr BP),2考 upper (yr BP),median (yr BP),2考 lower (yr BP),2考 upper (yr BP)
290.5,0.321,8.3,16745,15642,15909,274,,,,,,,,,,,,
292.5,0.312,8.0,16849,15696,15975,267,,,,,,,,,,,,
294.5,0.304,7.8,16954,15750,16040,260,,,,,,,,,,,,
296.5,0.316,8.1,17058,15804,16105,251,,,,,,,,,,,,
298.5,0.313,8.1,17163,15858,16170,240,,,,,,,,,,,,
302.5,0.289,7.4,17371,15972,16298,232,,,,,,,,,,,,
304.5,0.290,7.4,17476,16040,16359,254,,,,,,,,,,,,
306.5,0.294,7.5,17580,16108,16420,273,,,,,,,,,,,,
308.5,0.296,7.6,17685,16176,16481,289,,,,,,,,,,,,
310.5,0.292,7.4,17789,16244,16541,303,,,,,,,,,,,,
312.5,0.298,7.6,17894,16312,16601,316,,,,,,,,,,,,
314.5,0.300,7.7,17998,16380,16662,327,,,,,,,,,,,,
316.5,0.302,7.7,18102,16448,16722,337,,,,,,,,,,,,
318.5,0.298,7.6,18207,16516,16782,346,,,,,,,,,,,,
322.5,0.287,7.3,18416,16652,16902,361,,,,,,,,,,,,
324.5,0.284,7.2,18520,16720,16962,368,,,,,,,,,,,,
326.5,0.285,7.2,18625,16788,17022,373,,,,,,,,,,,,
328.5,0.270,6.8,18729,16856,17081,378,,,,,,,,,,,,
330.5,0.298,7.6,18833,16924,17141,382,,,,,,,,,,,,
332.5,0.261,6.5,18938,16992,17201,385,,,,,,,,,,,,
334.5,0.290,7.4,19042,17060,17261,388,,,,,,,,,,,,
336.5,0.259,6.5,19147,17128,17321,390,,,,,,,,,,,,
338.5,0.283,7.2,19251,17196,17380,392,,,,,,,,,,,,
340.5,0.268,6.7,19356,17265,17440,393,,,,,,,,,,,,
342.5,0.285,7.2,19460,17333,17500,393,,,,,,,,,,,,
344.5,0.281,7.1,19565,17401,17560,392,,,,,,,,,,,,
348.5,0.279,7.1,19773,17537,17679,390,,,,,,,,,,,,
350.5,0.285,7.2,19878,17605,17738,388,,,,,,,,,,,,
352.5,0.288,7.3,19982,17673,17798,385,,,,,,,,,,,,
354.5,0.275,6.9,20087,17741,17858,381,,,,,,,,,,,,
356.5,0.297,7.6,20191,17809,17917,377,,,,,,,,,,,,
362.5,0.306,7.9,20504,18014,18096,360,,,,,,,,,,,,
364.5,0.302,7.7,20609,18082,18155,353,,,,,,,,,,,,
366.5,0.333,8.6,20713,18150,18214,346,,,,,,,,,,,,
368.5,0.325,8.4,20818,18218,18274,337,,,,,,,,,,,,
370.5,0.301,7.7,20922,18286,18333,327,,,,,,,,,,,,
372.5,0.303,7.8,21027,18355,18392,317,,,,,,,,,,,,
374.5,0.296,7.5,21131,18423,18452,305,,,,,,,,,,,,
376.5,0.314,8.1,21235,18491,18511,292,,,,,,,,,,,,
378.5,0.308,7.9,21340,18559,18570,278,,,,,,,,,,,,
380.5,0.300,7.7,21444,18627,18629,262,,,,,,,,,,,,
382.5,0.288,7.3,21549,18696,18688,245,,,,,,,,,,,,
384.5,0.288,7.3,21653,18764,18747,225,,,,,,,,,,,,
386.5,0.281,7.1,21758,18832,18806,202,,,,,,,,,,,,
388.5,0.301,7.7,21862,18900,18864,176,,,,,,,,,,,,
