Proxy depth,Mg/Ca,Published temperature,Published age,Marine04 age,Marine09 age,Age model error,,14C depth,Material,14C age,14C error,忖R,Marine04 age,,,Marine09 age,,
(cm),(mmol/mol),(～C),(yr BP),(yr BP),(yr BP),"(yr, 1考)",,(cm),,(yr BP),"(yr, 1考)",(yr),median (yr BP),2考 lower (yr BP),2考 upper (yr BP),median (yr BP),2考 lower (yr BP),2考 upper (yr BP)
1052,3.421,24.4,48333,NaN,NaN,NaN,,,,,,,,,,,,
1055,3.672,25.2,48667,NaN,NaN,NaN,,,,,,,,,,,,
1060,3.457,24.5,49222,NaN,NaN,NaN,,,,,,,,,,,,
1065,3.318,24.1,49778,NaN,NaN,NaN,,,,,,,,,,,,
1070,3.573,24.9,50333,NaN,NaN,NaN,,,,,,,,,,,,
1075,3.548,24.8,50889,NaN,NaN,NaN,,,,,,,,,,,,
1080,3.798,25.6,51444,NaN,NaN,NaN,,,,,,,,,,,,
1085,3.889,25.8,52000,NaN,NaN,NaN,,,,,,,,,,,,
1090,3.802,25.6,52556,NaN,NaN,NaN,,,,,,,,,,,,
1095,3.484,24.6,53111,NaN,NaN,NaN,,,,,,,,,,,,
1100,3.508,24.7,53667,NaN,NaN,NaN,,,,,,,,,,,,
1105,3.565,24.9,54222,NaN,NaN,NaN,,,,,,,,,,,,
1110,4.288,26.9,54778,NaN,NaN,NaN,,,,,,,,,,,,
1115,3.679,25.2,55333,NaN,NaN,NaN,,,,,,,,,,,,
1120,3.381,24.3,55889,NaN,NaN,NaN,,,,,,,,,,,,
1125,3.459,24.5,56444,NaN,NaN,NaN,,,,,,,,,,,,
1130,3.415,24.4,57000,NaN,NaN,NaN,,,,,,,,,,,,
1135,3.315,24.1,57556,NaN,NaN,NaN,,,,,,,,,,,,
1140,3.984,26.1,58111,NaN,NaN,NaN,,,,,,,,,,,,
1145,3.482,24.6,58667,NaN,NaN,NaN,,,,,,,,,,,,
1150,3.619,25.0,59222,NaN,NaN,NaN,,,,,,,,,,,,
1155,3.467,24.6,59778,NaN,NaN,NaN,,,,,,,,,,,,
1160,3.312,24.1,60333,NaN,NaN,NaN,,,,,,,,,,,,
1165,3.800,25.6,60889,NaN,NaN,NaN,,,,,,,,,,,,
1170,3.630,25.1,61444,NaN,NaN,NaN,,,,,,,,,,,,
1175,3.428,24.4,62000,NaN,NaN,NaN,,,,,,,,,,,,
1180,3.373,24.3,62556,NaN,NaN,NaN,,,,,,,,,,,,
1185,3.603,25.0,63111,NaN,NaN,NaN,,,,,,,,,,,,
1190,3.277,23.9,63667,NaN,NaN,NaN,,,,,,,,,,,,
1195,3.229,23.8,64222,NaN,NaN,NaN,,,,,,,,,,,,
1198,3.354,24.2,64556,NaN,NaN,NaN,,,,,,,,,,,,
1202,2.683,21.7,65000,NaN,NaN,NaN,,,,,,,,,,,,
1205,2.997,23.0,65795,NaN,NaN,NaN,,,,,,,,,,,,
1210,3.041,23.1,67120,NaN,NaN,NaN,,,,,,,,,,,,
1215,3.250,23.9,68446,NaN,NaN,NaN,,,,,,,,,,,,
1220,3.258,23.9,69771,NaN,NaN,NaN,,,,,,,,,,,,
1225,3.471,24.6,71096,NaN,NaN,NaN,,,,,,,,,,,,
1230,3.378,24.3,72422,NaN,NaN,NaN,,,,,,,,,,,,
1235,3.487,24.6,73747,NaN,NaN,NaN,,,,,,,,,,,,
1240,3.641,25.1,75072,NaN,NaN,NaN,,,,,,,,,,,,
1245,3.711,25.3,76398,NaN,NaN,NaN,,,,,,,,,,,,
1250,3.773,25.5,77723,NaN,NaN,NaN,,,,,,,,,,,,
1255,3.414,24.4,79048,NaN,NaN,NaN,,,,,,,,,,,,
1260,3.548,24.8,80373,NaN,NaN,NaN,,,,,,,,,,,,
1265,3.692,25.3,81699,NaN,NaN,NaN,,,,,,,,,,,,
1270,3.896,25.9,83024,NaN,NaN,NaN,,,,,,,,,,,,
1275,3.734,25.4,84349,NaN,NaN,NaN,,,,,,,,,,,,
1280,3.951,26.0,85675,NaN,NaN,NaN,,,,,,,,,,,,
1285,3.780,25.5,87000,NaN,NaN,NaN,,,,,,,,,,,,
1290,3.488,24.6,88048,NaN,NaN,NaN,,,,,,,,,,,,
1295,3.303,24.0,89095,NaN,NaN,NaN,,,,,,,,,,,,
1300,3.740,25.4,90143,NaN,NaN,NaN,,,,,,,,,,,,
1305,3.586,24.9,91190,NaN,NaN,NaN,,,,,,,,,,,,
1310,3.722,25.4,92238,NaN,NaN,NaN,,,,,,,,,,,,
1315,3.747,25.4,93286,NaN,NaN,NaN,,,,,,,,,,,,
1320,3.346,24.2,94333,NaN,NaN,NaN,,,,,,,,,,,,
1325,3.780,25.5,95381,NaN,NaN,NaN,,,,,,,,,,,,
