Proxy depth,Mg/Ca,Published temperature,Published age,Marine04 age,Marine09 age,Age model error,,14C depth,Material,14C age,14C error,忖R,Marine04 age,,,Marine09 age,,
(cm),(mmol/mol),(～C),(yr BP),(yr BP),(yr BP),"(yr, 1考)",,(cm),,(yr BP),"(yr, 1考)",(yr),median (yr BP),2考 lower (yr BP),2考 upper (yr BP),median (yr BP),2考 lower (yr BP),2考 upper (yr BP)
206.5,2.130,14.0,14289,14569,14636,198,,,,,,,,,,,,
208.5,1.900,13.0,14374,14606,14685,205,,,,,,,,,,,,
210.5,2.090,13.9,14458,14642,14733,212,,,,,,,,,,,,
212.5,2.190,14.3,14543,14678,14781,217,,,,,,,,,,,,
214.5,2.170,14.2,14628,14714,14830,221,,,,,,,,,,,,
216.5,2.390,15.1,14712,14749,14877,223,,,,,,,,,,,,
218.5,2.120,14.0,14797,14785,14925,225,,,,,,,,,,,,
220.5,2.100,13.9,14881,14830,14983,231,,,,,,,,,,,,
222.5,2.070,13.8,14966,14933,15108,264,,,,,,,,,,,,
224.5,2.020,13.5,15051,15046,15242,293,,,,,,,,,,,,
226.5,1.950,13.2,15135,15158,15375,316,,,,,,,,,,,,
228.5,1.920,13.1,15220,15271,15508,335,,,,,,,,,,,,
230.5,1.870,12.8,15304,15384,15640,351,,,,,,,,,,,,
232.5,1.970,13.3,15389,15496,15772,364,,,,,,,,,,,,
234.5,1.880,12.9,15474,15609,15904,376,,,,,,,,,,,,
236.5,1.970,13.3,15558,15722,16036,385,,,,,,,,,,,,
238.5,1.730,12.1,15643,15835,16168,392,,,,,,,,,,,,
240.5,1.830,12.6,15727,15947,16299,398,,,,,,,,,,,,
242.5,2.050,13.7,15812,16060,16430,402,,,,,,,,,,,,
244.5,1.860,12.8,15897,16173,16561,404,,,,,,,,,,,,
248.5,2.230,14.5,16066,16398,16822,405,,,,,,,,,,,,
250.5,2.000,13.4,16150,16511,16951,403,,,,,,,,,,,,
252.5,1.890,12.9,16235,16629,17078,400,,,,,,,,,,,,
254.5,1.800,12.4,16334,16773,17200,401,,,,,,,,,,,,
256.5,1.860,12.8,16432,16922,17320,403,,,,,,,,,,,,
258.5,1.880,12.9,16531,17070,17440,404,,,,,,,,,,,,
260.5,2.090,13.9,16629,17219,17559,405,,,,,,,,,,,,
262.5,2.100,13.9,16728,17367,17678,406,,,,,,,,,,,,
264.5,1.800,12.5,16826,17516,17797,406,,,,,,,,,,,,
266.5,1.790,12.4,16925,17664,17915,405,,,,,,,,,,,,
268.5,1.760,12.3,17024,17812,18034,404,,,,,,,,,,,,
270.5,1.910,13.0,17122,17960,18152,402,,,,,,,,,,,,
272.5,1.900,12.9,17221,18108,18269,399,,,,,,,,,,,,
274.5,1.640,11.6,17319,18256,18386,396,,,,,,,,,,,,
276.5,1.380,10.0,17418,18396,18499,393,,,,,,,,,,,,
278.5,1.540,11.0,17516,18491,18591,400,,,,,,,,,,,,
280.5,1.520,10.9,17615,18578,18678,409,,,,,,,,,,,,
282.5,1.770,12.3,17714,18665,18764,418,,,,,,,,,,,,
284.5,1.740,12.1,17812,18752,18850,425,,,,,,,,,,,,
288.5,1.710,12.0,18009,18925,19022,438,,,,,,,,,,,,
292.5,1.580,11.3,18206,19098,19193,450,,,,,,,,,,,,
296.5,1.600,11.3,18404,19272,19363,459,,,,,,,,,,,,
300.5,1.650,11.6,18601,19445,19534,466,,,,,,,,,,,,
304.5,1.660,11.7,18798,19618,19704,471,,,,,,,,,,,,
308.5,1.690,11.9,18995,19791,19873,474,,,,,,,,,,,,
312.5,1.580,11.2,19192,19964,20043,476,,,,,,,,,,,,
316.5,1.770,12.3,19389,20137,20212,475,,,,,,,,,,,,
320.5,1.610,11.4,19586,20310,20381,473,,,,,,,,,,,,
324.5,1.600,11.4,19783,20483,20550,468,,,,,,,,,,,,
328.5,1.780,12.3,19981,20656,20719,461,,,,,,,,,,,,
332.5,1.490,10.7,20178,20828,20887,451,,,,,,,,,,,,
338.5,1.380,10.0,20473,21087,21136,428,,,,,,,,,,,,
340.5,1.440,10.4,20572,21179,21225,425,,,,,,,,,,,,
342.5,1.590,11.3,20671,21294,21338,447,,,,,,,,,,,,
346.5,1.490,10.7,20868,21533,21580,497,,,,,,,,,,,,
350.5,1.530,10.9,21065,21773,21823,542,,,,,,,,,,,,
354.5,1.650,11.7,21262,22013,22067,583,,,,,,,,,,,,
