Proxy depth,Mg/Ca,Published temperature,Published age,Marine04 age,Marine09 age,Age model error,,14C depth,Material,14C age,14C error,忖R,Marine04 age,,,Marine09 age,,,
133,4.550,29.4,10453,10577,10588,240,,,,,,,,,,,,,
134,4.374,29.0,10488,10610,10621,239,,,,,,,,,,,,,
136,4.650,29.6,10558,10677,10687,234,,,,,,,,,,,,,
137,4.369,29.0,10593,10710,10720,231,,,,,,,,,,,,,
138,4.369,29.0,10627,10743,10753,228,,,,,,,,,,,,,
139,4.657,29.7,10662,10776,10786,223,,,,,,,,,,,,,
141,4.530,29.4,10732,10843,10852,213,,,,,,,,,,,,,
142,4.309,28.8,10767,10876,10885,206,,,,,,,,,,,,,
143,4.262,28.7,10801,10909,10918,199,,,,,,,,,,,,,
144,4.400,29.1,10836,10943,10951,190,,,,,,,,,,,,,
145,4.326,28.9,10871,10976,10984,181,,,,,,,,,,,,,
146,4.574,29.5,10906,11010,11016,170,,,,,,,,,,,,,
147,4.484,29.3,10941,11043,11049,158,,,,,,,,,,,,,
148,4.459,29.2,10975,11077,11082,144,,,,,,,,,,,,,
149,4.768,29.9,11010,11110,11114,128,,,,,,,,,,,,,
151,4.604,29.5,11059,11177,11178,125,,,,,,,,,,,,,
152,4.867,30.1,11072,11210,11211,137,,,,,,,,,,,,,
153,4.832,30.0,11086,11242,11243,146,,,,,,,,,,,,,
155,4.466,29.2,11113,11308,11308,157,,,,,,,,,,,,,
156,4.440,29.2,11126,11341,11341,161,,,,,,,,,,,,,
157,4.587,29.5,11140,11374,11373,163,,,,,,,,,,,,,
160,4.387,29.0,11242,11825,11784,225,,,,,,,,,,,,,
161,4.479,29.2,11286,12035,11971,211,,,,,,,,,,,,,
163,4.619,29.6,11375,12267,12180,164,,,,,,,,,,,,,
164,4.574,29.5,11419,12289,12204,174,,,,,,,,,,,,,
165,4.607,29.5,11463,12310,12228,181,,,,,,,,,,,,,
166,4.356,29.0,11508,12332,12252,188,,,,,,,,,,,,,
167,4.573,29.5,11552,12353,12276,195,,,,,,,,,,,,,
169,4.368,29.0,11640,12397,12324,205,,,,,,,,,,,,,
170,4.528,29.4,11685,12418,12348,210,,,,,,,,,,,,,
171,4.641,29.6,11729,12440,12372,214,,,,,,,,,,,,,
172,4.425,29.1,11773,12462,12395,217,,,,,,,,,,,,,
173,4.778,29.9,11818,12483,12419,221,,,,,,,,,,,,,
174,4.779,29.9,11862,12505,12443,223,,,,,,,,,,,,,
175,4.301,28.8,11906,12527,12467,226,,,,,,,,,,,,,
176,4.576,29.5,11951,12549,12491,228,,,,,,,,,,,,,
177,4.496,29.3,11995,12571,12514,230,,,,,,,,,,,,,
178,4.380,29.0,12039,12592,12538,231,,,,,,,,,,,,,
179,4.550,29.4,12084,12614,12562,232,,,,,,,,,,,,,
180,4.165,28.5,12128,12636,12586,233,,,,,,,,,,,,,
181,4.374,29.0,12172,12658,12609,233,,,,,,,,,,,,,
182,4.564,29.4,12217,12680,12633,233,,,,,,,,,,,,,
183,4.135,28.4,12261,12702,12657,233,,,,,,,,,,,,,
184,4.157,28.5,12305,12724,12681,233,,,,,,,,,,,,,
185,4.354,28.9,12350,12745,12704,232,,,,,,,,,,,,,
187,4.386,29.0,12438,12789,12752,229,,,,,,,,,,,,,
188,4.411,29.1,12482,12811,12775,227,,,,,,,,,,,,,
189,4.469,29.2,12527,12833,12799,225,,,,,,,,,,,,,
190,4.449,29.2,12571,12855,12822,223,,,,,,,,,,,,,
191,4.486,29.3,12615,12877,12846,220,,,,,,,,,,,,,
192,4.192,28.5,12660,12899,12870,217,,,,,,,,,,,,,
194,4.388,29.0,12748,12943,12917,209,,,,,,,,,,,,,
195,4.439,29.1,12793,12965,12940,205,,,,,,,,,,,,,
196,4.386,29.0,12837,12987,12964,200,,,,,,,,,,,,,
197,4.215,28.6,12881,13009,12988,195,,,,,,,,,,,,,
198,4.298,28.8,12926,13031,13011,189,,,,,,,,,,,,,
201,4.067,28.2,13059,13097,13081,168,,,,,,,,,,,,,
202,4.195,28.6,13103,13120,13105,159,,,,,,,,,,,,,
203,4.132,28.4,13147,13142,13128,150,,,,,,,,,,,,,
204,4.379,29.0,13192,13164,13151,139,,,,,,,,,,,,,
208,4.437,29.1,13517,13434,13423,178,,,,,,,,,,,,,
209,4.512,29.3,13620,13530,13517,176,,,,,,,,,,,,,
210,4.299,28.8,13724,13626,13611,162,,,,,,,,,,,,,
211,3.996,28.0,13827,13723,13704,133,,,,,,,,,,,,,
213,4.066,28.2,13991,13881,13860,120,,,,,,,,,,,,,
214,4.281,28.8,14050,13941,13922,152,,,,,,,,,,,,,
215,4.380,29.0,14110,14001,13985,176,,,,,,,,,,,,,
216,4.217,28.6,14170,14062,14047,195,,,,,,,,,,,,,
217,4.184,28.5,14229,14122,14110,210,,,,,,,,,,,,,
220,3.797,27.5,14408,14303,14296,237,,,,,,,,,,,,,
221,4.072,28.2,14468,14363,14358,242,,,,,,,,,,,,,
222,4.404,29.1,14528,14424,14420,244,,,,,,,,,,,,,
223,3.865,27.7,14587,14485,14481,244,,,,,,,,,,,,,
224,3.889,27.8,14647,14545,14543,242,,,,,,,,,,,,,
225,3.962,28.0,14707,14606,14604,237,,,,,,,,,,,,,
229,3.863,27.7,15028,14927,15005,277,,,,,,,,,,,,,
230,3.975,28.0,15121,15020,15128,290,,,,,,,,,,,,,
232,4.254,28.7,15307,15206,15374,306,,,,,,,,,,,,,
233,4.187,28.5,15400,15299,15496,311,,,,,,,,,,,,,
234,3.910,27.8,15493,15393,15619,313,,,,,,,,,,,,,
236,3.833,27.6,15679,15580,15863,311,,,,,,,,,,,,,
237,3.671,27.1,15772,15673,15985,306,,,,,,,,,,,,,
238,3.919,27.8,15865,15767,16107,300,,,,,,,,,,,,,
240,3.587,26.9,16050,15955,16351,278,,,,,,,,,,,,,
242,3.898,27.8,16236,16143,16594,245,,,,,,,,,,,,,
243,3.937,27.9,16329,16237,16715,222,,,,,,,,,,,,,
244,4.106,28.3,16422,16334,16834,194,,,,,,,,,,,,,
245,3.720,27.3,16453,16365,16860,201,,,,,,,,,,,,,
246,3.779,27.5,16484,16397,16886,208,,,,,,,,,,,,,
247,4.118,28.4,16515,16429,16911,213,,,,,,,,,,,,,
248,4.053,28.2,16546,16461,16936,218,,,,,,,,,,,,,
249,3.903,27.8,16578,16493,16962,223,,,,,,,,,,,,,
250,3.861,27.7,16609,16526,16987,226,,,,,,,,,,,,,
251,3.654,27.1,16640,16558,17012,230,,,,,,,,,,,,,
255,3.428,26.4,16764,16687,17113,238,,,,,,,,,,,,,
260,3.389,26.3,16920,16849,17238,237,,,,,,,,,,,,,
265,3.411,26.4,17076,17012,17363,225,,,,,,,,,,,,,
270,3.956,27.9,17230,17195,17509,215,,,,,,,,,,,,,
274,3.868,27.7,17350,17399,17686,246,,,,,,,,,,,,,
276,3.786,27.5,17411,17502,17773,259,,,,,,,,,,,,,
278,3.626,27.0,17471,17605,17860,271,,,,,,,,,,,,,
281,3.506,26.7,17561,17761,17988,285,,,,,,,,,,,,,
284,3.566,26.8,17667,17883,18097,303,,,,,,,,,,,,,
286,3.927,27.9,17742,17953,18163,314,,,,,,,,,,,,,
289,3.408,26.4,17856,18060,18263,327,,,,,,,,,,,,,
291,3.862,27.7,17932,18131,18329,334,,,,,,,,,,,,,
294,3.646,27.1,18045,18237,18428,342,,,,,,,,,,,,,
296,3.680,27.2,18121,18308,18494,347,,,,,,,,,,,,,
298,3.674,27.2,18197,18379,18560,350,,,,,,,,,,,,,
300,3.379,26.3,18272,18450,18626,353,,,,,,,,,,,,,
302,3.909,27.8,18348,18522,18692,354,,,,,,,,,,,,,
305,3.456,26.5,18462,18628,18791,355,,,,,,,,,,,,,
307,3.906,27.8,18537,18700,18856,354,,,,,,,,,,,,,
310,3.459,26.5,18651,18807,18955,351,,,,,,,,,,,,,
312,3.712,27.3,18727,18878,19021,348,,,,,,,,,,,,,
315,3.375,26.3,18840,18985,19119,341,,,,,,,,,,,,,
317,3.667,27.1,18916,19056,19185,336,,,,,,,,,,,,,
319,3.482,26.6,18992,19128,19251,329,,,,,,,,,,,,,
321,3.505,26.7,19068,19199,19316,321,,,,,,,,,,,,,
324,3.411,26.4,19181,19307,19414,307,,,,,,,,,,,,,
326,3.685,27.2,19257,19378,19480,295,,,,,,,,,,,,,
328,3.593,26.9,19333,19450,19545,282,,,,,,,,,,,,,
330,3.462,26.5,19408,19521,19611,268,,,,,,,,,,,,,
332,3.487,26.6,19484,19593,19676,250,,,,,,,,,,,,,
335,3.425,26.4,19598,19701,19774,219,,,,,,,,,,,,,
337,3.566,26.8,19673,19773,19839,193,,,,,,,,,,,,,
341,3.656,27.1,19800,19881,19953,170,,,,,,,,,,,,,
343,3.367,26.2,19840,19918,20003,179,,,,,,,,,,,,,
345,3.571,26.9,19890,19955,20053,185,,,,,,,,,,,,,
347,3.473,26.6,19940,19992,20102,190,,,,,,,,,,,,,
350,3.243,25.8,20010,20048,20176,193,,,,,,,,,,,,,
355,3.424,26.4,20130,20142,20298,191,,,,,,,,,,,,,
357,3.506,26.7,20170,20179,20347,188,,,,,,,,,,,,,
359,3.411,26.4,20220,20217,20396,183,,,,,,,,,,,,,
361,3.645,27.1,20270,20255,20444,177,,,,,,,,,,,,,
364,3.515,26.7,20340,20312,20517,165,,,,,,,,,,,,,
366,3.767,27.4,20380,20350,20565,155,,,,,,,,,,,,,
367,3.624,27.0,20410,20370,20588,150,,,,,,,,,,,,,
371,3.583,26.9,20560,20526,20739,198,,,,,,,,,,,,,
373,3.581,26.9,20650,20618,20824,224,,,,,,,,,,,,,
375,3.632,27.0,20740,20710,20908,245,,,,,,,,,,,,,
377,3.552,26.8,20830,20802,20991,261,,,,,,,,,,,,,
381,3.309,26.1,21010,20987,21158,284,,,,,,,,,,,,,
383,3.416,26.4,21100,21079,21242,291,,,,,,,,,,,,,
385,3.446,26.5,21180,21172,21325,295,,,,,,,,,,,,,
387,3.479,26.6,21270,21264,21408,297,,,,,,,,,,,,,
389,3.432,26.4,21360,21357,21491,296,,,,,,,,,,,,,
391,3.529,26.7,21450,21450,21574,293,,,,,,,,,,,,,
393,3.692,27.2,21540,21542,21657,287,,,,,,,,,,,,,
395,3.432,26.4,21630,21635,21740,279,,,,,,,,,,,,,
397,3.407,26.4,21720,21729,21823,267,,,,,,,,,,,,,
399,3.396,26.3,21810,21822,21904,252,,,,,,,,,,,,,
