Proxy depth,UK'37,Published temperature,Published age,Marine04 age,Marine09 age,Age model error,,14C depth,Material,14C age,14C error,忖R,Marine04 age,,,Marine09 age,,
(cm),,(～C),(yr BP),(yr BP),(yr BP),"(yr, 1考)",,(cm),,(yr BP),"(yr, 1考)",(yr),median (yr BP),2考 lower (yr BP),2考 upper (yr BP),median (yr BP),2考 lower (yr BP),2考 upper (yr BP)
236,0.430,11.7,25680,26125,26111,676,,,,,,,,,,,,
238,0.414,11.2,25820,26337,26324,704,,,,,,,,,,,,
240,0.405,10.9,25950,26548,26537,731,,,,,,,,,,,,
242,0.402,10.8,26080,26760,26750,757,,,,,,,,,,,,
244,0.403,10.9,26200,26971,26962,782,,,,,,,,,,,,
246,0.432,11.8,26310,27182,27175,806,,,,,,,,,,,,
248,0.428,11.6,26430,27394,27388,830,,,,,,,,,,,,
250,0.417,11.3,26530,27605,27601,853,,,,,,,,,,,,
252,0.405,10.9,26640,27817,27813,875,,,,,,,,,,,,
254,0.408,11.0,26730,28028,28026,897,,,,,,,,,,,,
256,0.411,11.1,26830,28240,28239,918,,,,,,,,,,,,
258,0.410,11.1,26920,28451,28452,939,,,,,,,,,,,,
260,0.441,12.0,27000,28663,28664,960,,,,,,,,,,,,
262,0.412,11.1,27080,28874,28877,980,,,,,,,,,,,,
264,0.427,11.6,27160,29086,29090,999,,,,,,,,,,,,
266,0.420,11.4,27240,29297,29302,1018,,,,,,,,,,,,
268,0.436,11.9,27310,29509,29515,1037,,,,,,,,,,,,
270,0.489,13.5,27370,29721,29727,1056,,,,,,,,,,,,
272,0.482,13.3,27440,29932,29940,1074,,,,,,,,,,,,
274,0.498,13.7,27500,NaN,NaN,NaN,,,,,,,,,,,,
276,0.460,12.6,27560,NaN,NaN,NaN,,,,,,,,,,,,
278,0.499,13.8,27610,NaN,NaN,NaN,,,,,,,,,,,,
280,0.480,13.2,27670,NaN,NaN,NaN,,,,,,,,,,,,
282,0.530,14.7,27720,NaN,NaN,NaN,,,,,,,,,,,,
284,0.463,12.7,27760,NaN,NaN,NaN,,,,,,,,,,,,
286,0.467,12.8,27810,NaN,NaN,NaN,,,,,,,,,,,,
288,0.470,12.9,27850,NaN,NaN,NaN,,,,,,,,,,,,
290,0.476,13.1,27890,NaN,NaN,NaN,,,,,,,,,,,,
292,0.558,15.6,27930,NaN,NaN,NaN,,,,,,,,,,,,
294,0.485,13.4,27970,NaN,NaN,NaN,,,,,,,,,,,,
296,0.465,12.8,28010,NaN,NaN,NaN,,,,,,,,,,,,
298,0.463,12.7,28040,NaN,NaN,NaN,,,,,,,,,,,,
300,0.491,13.5,28080,NaN,NaN,NaN,,,,,,,,,,,,
302,0.485,13.4,28110,NaN,NaN,NaN,,,,,,,,,,,,
304,0.482,13.3,28140,NaN,NaN,NaN,,,,,,,,,,,,
306,0.479,13.2,28170,NaN,NaN,NaN,,,,,,,,,,,,
308,0.484,13.3,28200,NaN,NaN,NaN,,,,,,,,,,,,
310,0.476,13.1,28230,NaN,NaN,NaN,,,,,,,,,,,,
312,0.489,13.5,28260,NaN,NaN,NaN,,,,,,,,,,,,
314,0.461,12.6,28280,NaN,NaN,NaN,,,,,,,,,,,,
316,0.459,12.6,28310,NaN,NaN,NaN,,,,,,,,,,,,
318,0.449,12.3,28340,NaN,NaN,NaN,,,,,,,,,,,,
320,0.449,12.3,28370,NaN,NaN,NaN,,,,,,,,,,,,
322,0.444,12.1,28400,NaN,NaN,NaN,,,,,,,,,,,,
324,0.431,11.7,28420,NaN,NaN,NaN,,,,,,,,,,,,
326,0.456,12.5,28450,NaN,NaN,NaN,,,,,,,,,,,,
328,0.464,12.7,28480,NaN,NaN,NaN,,,,,,,,,,,,
330,0.461,12.6,28510,NaN,NaN,NaN,,,,,,,,,,,,
332,0.451,12.3,28540,NaN,NaN,NaN,,,,,,,,,,,,
334,0.487,13.4,28580,NaN,NaN,NaN,,,,,,,,,,,,
336,0.511,14.2,28610,NaN,NaN,NaN,,,,,,,,,,,,
338,0.518,14.4,28640,NaN,NaN,NaN,,,,,,,,,,,,
340,0.523,14.5,28680,NaN,NaN,NaN,,,,,,,,,,,,
342,0.533,14.8,28720,NaN,NaN,NaN,,,,,,,,,,,,
344,0.494,13.6,28760,NaN,NaN,NaN,,,,,,,,,,,,
346,0.515,14.3,28800,NaN,NaN,NaN,,,,,,,,,,,,
348,0.537,14.9,28840,NaN,NaN,NaN,,,,,,,,,,,,
350,0.511,14.2,28890,NaN,NaN,NaN,,,,,,,,,,,,
352,0.518,14.4,28930,NaN,NaN,NaN,,,,,,,,,,,,
354,0.501,13.8,28980,NaN,NaN,NaN,,,,,,,,,,,,
356,0.492,13.6,29030,NaN,NaN,NaN,,,,,,,,,,,,
358,0.488,13.4,29090,NaN,NaN,NaN,,,,,,,,,,,,
360,0.496,13.7,29150,NaN,NaN,NaN,,,,,,,,,,,,
362,0.502,13.9,29210,NaN,NaN,NaN,,,,,,,,,,,,
364,0.529,14.7,29270,NaN,NaN,NaN,,,,,,,,,,,,
366,0.518,14.4,29340,NaN,NaN,NaN,,,,,,,,,,,,
368,0.516,14.3,29410,NaN,NaN,NaN,,,,,,,,,,,,
370,0.492,13.6,29480,NaN,NaN,NaN,,,,,,,,,,,,
372,0.483,13.3,29550,NaN,NaN,NaN,,,,,,,,,,,,
374,0.465,12.8,29630,NaN,NaN,NaN,,,,,,,,,,,,
376,0.469,12.9,29710,NaN,NaN,NaN,,,,,,,,,,,,
378,0.472,13.0,29800,NaN,NaN,NaN,,,,,,,,,,,,
380,0.475,13.1,29880,NaN,NaN,NaN,,,,,,,,,,,,
382,0.472,13.0,29970,NaN,NaN,NaN,,,,,,,,,,,,
384,0.468,12.8,30060,NaN,NaN,NaN,,,,,,,,,,,,
386,0.448,12.2,30150,NaN,NaN,NaN,,,,,,,,,,,,
388,0.460,12.6,30250,NaN,NaN,NaN,,,,,,,,,,,,
390,0.483,13.3,30350,NaN,NaN,NaN,,,,,,,,,,,,
392,0.470,12.9,30450,NaN,NaN,NaN,,,,,,,,,,,,
394,0.457,12.5,30550,NaN,NaN,NaN,,,,,,,,,,,,
396,0.462,12.7,30650,NaN,NaN,NaN,,,,,,,,,,,,
398,0.449,12.3,30760,NaN,NaN,NaN,,,,,,,,,,,,
400,0.427,11.6,30870,NaN,NaN,NaN,,,,,,,,,,,,
402,0.421,11.4,30980,NaN,NaN,NaN,,,,,,,,,,,,
404,0.440,12.0,31090,NaN,NaN,NaN,,,,,,,,,,,,
406,0.456,12.5,31210,NaN,NaN,NaN,,,,,,,,,,,,
408,0.456,12.5,31320,NaN,NaN,NaN,,,,,,,,,,,,
