Proxy depth,TEX86,Published temperature,Published age,Marine04 age,Marine09 age,Age model error,,14C depth,Material,14C age,14C error,忖R,Marine04 age,,,Marine09 age,,
195,0.644,25.4,5800,5499,5508,271,,,,,,,,,,,,
200,0.637,25.0,5992,5668,5676,232,,,,,,,,,,,,
206,0.631,24.7,6222,5872,5877,159,,,,,,,,,,,,
212,0.633,24.8,6494,6147,6152,161,,,,,,,,,,,,
216,0.625,24.3,6730,6427,6434,250,,,,,,,,,,,,
221,0.636,25.0,7025,6778,6785,302,,,,,,,,,,,,
225,0.670,26.9,7262,7059,7066,317,,,,,,,,,,,,
230,0.684,27.6,7528,7377,7382,311,,,,,,,,,,,,
235,0.649,25.7,7882,7765,7768,268,,,,,,,,,,,,
240,0.675,27.2,8148,8119,8119,173,,,,,,,,,,,,
245,0.669,26.8,8554,8554,8554,197,,,,,,,,,,,,
250,0.686,27.8,9124,9070,9074,262,,,,,,,,,,,,
257,0.617,23.9,9745,9746,9747,142,,,,,,,,,,,,
260,0.616,23.8,10043,10042,10046,218,,,,,,,,,,,,
265,0.591,22.4,10455,10452,10456,285,,,,,,,,,,,,
270,0.569,21.2,10866,10863,10865,293,,,,,,,,,,,,
275,0.538,19.5,11277,11276,11274,249,,,,,,,,,,,,
280,0.525,18.7,11684,11685,11684,183,,,,,,,,,,,,
286,0.518,18.3,12152,12148,12179,294,,,,,,,,,,,,
290,0.528,18.9,12464,12459,12509,325,,,,,,,,,,,,
296,0.560,20.7,12932,12926,13003,332,,,,,,,,,,,,
300,0.568,21.2,13244,13237,13332,312,,,,,,,,,,,,
305,0.536,19.4,13634,13628,13742,252,,,,,,,,,,,,
310,0.563,20.9,14024,14023,14151,107,,,,,,,,,,,,
315,0.586,22.1,14253,14249,14417,210,,,,,,,,,,,,
321,0.518,18.3,14585,14579,14799,286,,,,,,,,,,,,
327,0.475,15.9,14890,14885,15151,323,,,,,,,,,,,,
333,0.482,16.3,15196,15192,15503,340,,,,,,,,,,,,
338,0.452,14.6,15451,15448,15797,340,,,,,,,,,,,,
343,0.456,14.8,15706,15704,16090,329,,,,,,,,,,,,
348,0.443,14.1,15961,15961,16383,304,,,,,,,,,,,,
353,0.474,15.8,16216,16218,16675,262,,,,,,,,,,,,
358,0.506,17.7,16505,16508,16949,260,,,,,,,,,,,,
360,0.524,18.7,16642,16643,17048,287,,,,,,,,,,,,
365,0.528,18.9,16983,16982,17293,330,,,,,,,,,,,,
370,0.525,18.7,17325,17322,17538,347,,,,,,,,,,,,
375,0.492,16.9,17667,17663,17782,342,,,,,,,,,,,,
380,0.516,18.2,18008,18004,18026,315,,,,,,,,,,,,
385,0.480,16.2,18350,18346,18270,258,,,,,,,,,,,,
389,0.463,15.3,18623,18621,18465,172,,,,,,,,,,,,
395,0.482,16.3,18960,18957,18784,198,,,,,,,,,,,,
400,0.496,17.1,19211,19206,19060,272,,,,,,,,,,,,
405,0.468,15.5,19461,19455,19336,319,,,,,,,,,,,,
411,0.467,15.4,19762,19755,19668,357,,,,,,,,,,,,
415,0.499,17.3,19962,19955,19888,374,,,,,,,,,,,,
420,0.492,16.9,20213,20206,20164,386,,,,,,,,,,,,
425,0.483,16.4,20463,20456,20440,390,,,,,,,,,,,,
430,0.477,16.0,20714,20707,20716,386,,,,,,,,,,,,
435,0.475,15.9,20964,20958,20992,373,,,,,,,,,,,,
440,0.469,15.6,21214,21209,21267,351,,,,,,,,,,,,
447,0.456,14.9,21540,21537,21625,305,,,,,,,,,,,,
450,0.471,15.7,21715,21714,21817,268,,,,,,,,,,,,
455,0.460,15.1,21979,21978,22081,281,,,,,,,,,,,,
460,0.483,16.4,22252,22251,22336,327,,,,,,,,,,,,
465,0.463,15.3,22525,22525,22591,355,,,,,,,,,,,,
471,0.467,15.5,22853,22855,22897,372,,,,,,,,,,,,
475,0.462,15.2,23071,23075,23101,375,,,,,,,,,,,,
480,0.462,15.2,23344,23350,23356,368,,,,,,,,,,,,
486,0.479,16.1,23672,23681,23661,344,,,,,,,,,,,,
489,0.501,17.4,23835,23847,23814,325,,,,,,,,,,,,
495,0.491,16.8,24163,24179,24119,267,,,,,,,,,,,,
500,0.518,18.3,24411,24376,24315,252,,,,,,,,,,,,
505,0.552,20.2,24643,24519,24471,269,,,,,,,,,,,,
510,0.505,17.6,24875,24662,24627,281,,,,,,,,,,,,
515,0.507,17.7,25107,24807,24782,288,,,,,,,,,,,,
520,0.492,16.9,25339,24952,24938,291,,,,,,,,,,,,
525,0.496,17.1,25571,25097,25093,292,,,,,,,,,,,,
530,0.496,17.1,25803,25243,25248,289,,,,,,,,,,,,
535,0.491,16.8,26035,25389,25404,285,,,,,,,,,,,,
542,0.503,17.5,26300,25570,25589,280,,,,,,,,,,,,
545,0.524,18.7,26335,25630,25645,275,,,,,,,,,,,,
549,0.503,17.5,26375,25699,25709,272,,,,,,,,,,,,
555,0.516,18.2,26436,25802,25805,271,,,,,,,,,,,,
560,0.548,20.0,26486,25889,25885,273,,,,,,,,,,,,
565,0.523,18.6,26536,25975,25964,276,,,,,,,,,,,,
570,0.535,19.3,26586,26062,26044,279,,,,,,,,,,,,
573,0.522,18.5,26617,26114,26092,282,,,,,,,,,,,,
