Proxy depth,Mg/Ca,Published temperature,Published age,Marine04 age,Marine09 age,Age model error,,14C depth,Material,14C age,14C error,忖R,Marine04 age,,,Marine09 age,,
(cm),(mmol/mol),(～C),(yr BP),(yr BP),(yr BP),"(yr, 1考)",,(cm),,(yr BP),"(yr, 1考)",(yr),median (yr BP),2考 lower (yr BP),2考 upper (yr BP),median (yr BP),2考 lower (yr BP),2考 upper (yr BP)
498.0,4.209,26.7,13550,13565,13566,134,,,,,,,,,,,,
503.0,3.984,26.1,13620,13634,13634,149,,,,,,,,,,,,
508.0,4.232,26.8,13690,13703,13702,153,,,,,,,,,,,,
513.0,4.332,27.0,13760,13770,13769,145,,,,,,,,,,,,
518.0,3.899,25.9,13830,13837,13835,123,,,,,,,,,,,,
523.0,4.038,26.3,13900,13899,13898,75,,,,,,,,,,,,
527.0,3.802,25.6,13980,13987,13997,135,,,,,,,,,,,,
530.0,4.316,27.0,14220,14051,14069,159,,,,,,,,,,,,
535.0,4.228,26.8,14300,14155,14187,183,,,,,,,,,,,,
540.0,4.348,27.1,14380,14258,14304,190,,,,,,,,,,,,
545.0,4.328,27.0,14470,14359,14419,181,,,,,,,,,,,,
550.0,4.639,27.8,14550,14464,14539,174,,,,,,,,,,,,
556.0,4.201,26.7,14650,14599,14695,191,,,,,,,,,,,,
561.0,4.340,27.1,14730,14708,14823,196,,,,,,,,,,,,
565.0,4.153,26.6,14800,14794,14925,193,,,,,,,,,,,,
566.0,4.089,26.4,14820,14816,14950,192,,,,,,,,,,,,
571.0,3.977,26.1,14940,14919,15073,190,,,,,,,,,,,,
576.0,4.078,26.4,15040,15020,15181,225,,,,,,,,,,,,
581.0,4.371,27.1,15130,15118,15287,253,,,,,,,,,,,,
591.0,3.823,25.7,15320,15313,15499,296,,,,,,,,,,,,
596.0,3.809,25.6,15410,15410,15604,311,,,,,,,,,,,,
601.0,3.778,25.5,15510,15506,15709,324,,,,,,,,,,,,
606.0,3.945,26.0,15600,15602,15814,335,,,,,,,,,,,,
607.0,4.274,26.9,15620,15622,15835,337,,,,,,,,,,,,
611.0,4.101,26.4,15700,15699,15919,343,,,,,,,,,,,,
616.0,4.013,26.2,15790,15794,16023,349,,,,,,,,,,,,
617.5,3.934,26.0,15820,15823,16055,350,,,,,,,,,,,,
621.0,4.093,26.4,15880,15890,16128,353,,,,,,,,,,,,
625.0,3.913,25.9,15960,15967,16211,355,,,,,,,,,,,,
627.5,4.167,26.6,16010,16014,16263,355,,,,,,,,,,,,
630.0,4.064,26.3,16050,16062,16315,355,,,,,,,,,,,,
632.5,4.123,26.5,16100,16110,16368,354,,,,,,,,,,,,
635.0,3.768,25.5,16150,16157,16420,353,,,,,,,,,,,,
637.5,4.123,26.5,16190,16205,16472,352,,,,,,,,,,,,
640.0,3.847,25.7,16240,16252,16524,350,,,,,,,,,,,,
642.5,4.027,26.2,16290,16300,16575,347,,,,,,,,,,,,
645.0,4.232,26.8,16340,16347,16627,344,,,,,,,,,,,,
655.0,3.724,25.4,16520,16536,16835,325,,,,,,,,,,,,
