Proxy depth,d18O,Temperature,Published age,Age model error
(m),(VSMOW),(°„C),(yr BP),"(yr, 1¶“)"
898.46,-34.91,-31.1,5430,6.5
901.20,-34.47,-29.7,5450,7
903.83,-34.53,-29.9,5470,7
906.50,-34.70,-30.4,5490,7
909.22,-34.36,-29.4,5510,7
911.77,-34.22,-29.0,5530,7
914.42,-35.06,-31.5,5550,7
917.03,-34.78,-30.7,5570,7
919.58,-35.19,-31.9,5590,7
922.16,-33.88,-27.9,5610,7
924.65,-35.20,-32.0,5630,7
927.19,-35.18,-31.9,5650,7.5
929.55,-34.51,-29.9,5670,7.5
931.99,-35.25,-32.1,5690,7.5
934.79,-34.69,-30.4,5710,7.5
937.22,-34.71,-30.5,5730,7.5
939.77,-34.55,-30.0,5750,7.5
942.18,-34.50,-29.8,5770,7.5
944.93,-34.71,-30.5,5790,7.5
947.43,-35.02,-31.4,5810,7.5
950.12,-34.71,-30.5,5830,7.5
953.03,-33.95,-28.1,5850,8
955.55,-34.20,-28.9,5870,8
958.09,-34.61,-30.2,5890,8
960.18,-34.91,-31.1,5910,8
962.78,-34.73,-30.5,5930,8
965.21,-34.85,-30.9,5950,8
967.97,-35.03,-31.4,5970,8
970.27,-34.77,-30.6,5990,8
972.71,-34.78,-30.7,6010,8
975.29,-35.49,-32.8,6030,8
977.83,-34.27,-29.1,6050,8.5
980.04,-35.17,-31.9,6070,8.5
982.61,-34.71,-30.5,6090,8.5
985.21,-34.39,-29.5,6110,8.5
987.78,-34.42,-29.6,6130,8.5
989.94,-34.89,-31.0,6150,8.5
992.39,-34.89,-31.0,6170,8.5
994.99,-34.58,-30.1,6190,8.5
997.45,-34.60,-30.1,6210,8.5
1000.34,-35.13,-31.7,6230,8.5
1002.84,-34.38,-29.5,6250,9
1005.35,-35.20,-32.0,6270,9
1007.78,-34.55,-30.0,6290,9
1010.77,-34.60,-30.1,6310,9
1013.29,-34.86,-30.9,6330,9
1015.62,-34.99,-31.3,6350,9
1018.21,-34.23,-29.0,6370,9
1020.62,-34.62,-30.2,6390,9
1022.89,-34.07,-28.5,6410,9
1025.55,-34.97,-31.3,6430,9
1027.60,-34.32,-29.3,6450,9.5
1029.94,-34.50,-29.8,6470,9.5
1032.45,-34.53,-29.9,6490,9.5
1034.79,-35.01,-31.4,6510,9.5
1037.43,-34.97,-31.3,6530,9.5
1039.75,-34.98,-31.3,6550,9.5
1042.22,-34.45,-29.7,6570,9.5
1044.88,-34.37,-29.4,6590,9.5
1047.34,-34.61,-30.2,6610,9.5
1049.75,-34.57,-30.0,6630,9.5
