Proxy depth,Mg/Ca,Published temperature,Published age,Marine04 age,Marine09 age,Age model error,,14C depth,Material,14C age,14C error,忖R,Marine04 age,,,Marine09 age,,,
794.75,3.717,25.6,11758,11763,11753,258,,,,,,,,,,,,,
810.25,2.947,23.0,11907,11910,11896,281,,,,,,,,,,,,,
815.25,3.218,24.0,11955,11958,11943,286,,,,,,,,,,,,,
820.25,3.131,23.7,12003,12005,11989,290,,,,,,,,,,,,,
825.25,3.157,23.8,12051,12053,12036,293,,,,,,,,,,,,,
830.25,3.340,24.4,12099,12101,12082,295,,,,,,,,,,,,,
835.25,2.917,22.9,12147,12148,12129,296,,,,,,,,,,,,,
840.25,3.174,23.9,12195,12196,12175,296,,,,,,,,,,,,,
845.25,3.014,23.3,12243,12244,12222,296,,,,,,,,,,,,,
850.25,3.250,24.1,12291,12292,12268,294,,,,,,,,,,,,,
860.25,2.909,22.9,12388,12387,12362,289,,,,,,,,,,,,,
865.25,3.167,23.8,12436,12435,12408,285,,,,,,,,,,,,,
870.25,3.054,23.4,12484,12483,12455,280,,,,,,,,,,,,,
880.25,2.873,22.7,12580,12579,12548,266,,,,,,,,,,,,,
885.25,3.249,24.1,12628,12626,12595,258,,,,,,,,,,,,,
890.25,3.204,24.0,12676,12674,12642,248,,,,,,,,,,,,,
909.25,3.666,25.5,12859,12857,12820,197,,,,,,,,,,,,,
931.75,3.217,24.0,13082,13081,13042,90,,,,,,,,,,,,,
936.75,2.991,23.2,13156,13155,13126,147,,,,,,,,,,,,,
941.75,3.058,23.4,13231,13229,13211,185,,,,,,,,,,,,,
946.75,3.034,23.3,13305,13304,13297,214,,,,,,,,,,,,,
951.75,3.472,24.9,13380,13378,13382,238,,,,,,,,,,,,,
954.25,3.347,24.4,13417,13415,13425,249,,,,,,,,,,,,,
956.75,2.649,21.8,13454,13453,13468,258,,,,,,,,,,,,,
959.25,3.503,25.0,13491,13490,13510,267,,,,,,,,,,,,,
961.75,3.712,25.6,13529,13527,13553,275,,,,,,,,,,,,,
966.75,3.690,25.5,13603,13602,13639,289,,,,,,,,,,,,,
971.75,3.679,25.5,13678,13677,13725,301,,,,,,,,,,,,,
981.75,3.221,24.0,13827,13826,13896,320,,,,,,,,,,,,,
986.75,3.402,24.6,13901,13901,13982,326,,,,,,,,,,,,,
991.75,3.743,25.7,13976,13976,14068,331,,,,,,,,,,,,,
1002.00,3.315,24.3,14128,14129,14244,337,,,,,,,,,,,,,
1007.25,3.398,24.6,14207,14208,14335,338,,,,,,,,,,,,,
1012.25,2.685,22.0,14281,14283,14421,337,,,,,,,,,,,,,
1022.25,3.479,24.9,14430,14433,14593,332,,,,,,,,,,,,,
1037.25,3.248,24.1,14654,14658,14852,312,,,,,,,,,,,,,
1047.25,2.659,21.9,14803,14808,15024,290,,,,,,,,,,,,,
1052.25,3.573,25.2,14877,14883,15111,275,,,,,,,,,,,,,
1057.25,2.962,23.1,14952,14958,15197,258,,,,,,,,,,,,,
1062.25,3.101,23.6,15026,15034,15284,238,,,,,,,,,,,,,
1067.25,2.649,21.8,15101,15109,15371,213,,,,,,,,,,,,,
1077.25,2.873,22.7,15223,15231,15499,228,,,,,,,,,,,,,
1087.25,2.900,22.8,15335,15342,15612,260,,,,,,,,,,,,,
1097.25,2.995,23.2,15448,15454,15725,285,,,,,,,,,,,,,
1106.25,3.050,23.4,15550,15555,15827,302,,,,,,,,,,,,,
1116.25,3.263,24.2,15662,15667,15941,318,,,,,,,,,,,,,
1121.25,3.292,24.3,15719,15723,15997,324,,,,,,,,,,,,,
1126.25,2.519,21.3,15775,15779,16054,329,,,,,,,,,,,,,
1131.25,2.887,22.8,15832,15835,16111,334,,,,,,,,,,,,,
1136.25,2.576,21.5,15888,15892,16168,338,,,,,,,,,,,,,
1141.25,2.603,21.6,15944,15948,16225,341,,,,,,,,,,,,,
1151.25,2.538,21.3,16057,16060,16338,345,,,,,,,,,,,,,
1156.25,2.888,22.8,16114,16116,16395,346,,,,,,,,,,,,,
1166.25,2.696,22.0,16226,16229,16509,346,,,,,,,,,,,,,
1176.25,2.660,21.9,16339,16341,16623,343,,,,,,,,,,,,,
1181.25,2.954,23.0,16396,16398,16680,340,,,,,,,,,,,,,
1186.25,3.004,23.2,16452,16454,16737,337,,,,,,,,,,,,,
1191.25,3.144,23.7,16508,16510,16794,332,,,,,,,,,,,,,
1196.25,2.526,21.3,16565,16567,16851,327,,,,,,,,,,,,,
1201.25,2.628,21.7,16621,16623,16908,322,,,,,,,,,,,,,
1206.25,2.800,22.4,16678,16680,16965,315,,,,,,,,,,,,,
1221.25,2.501,21.2,16847,16849,17137,288,,,,,,,,,,,,,
1231.25,2.560,21.4,16960,16962,17251,265,,,,,,,,,,,,,
1241.25,2.284,20.2,17072,17076,17366,234,,,,,,,,,,,,,
1251.25,3.005,23.2,17178,17180,17454,247,,,,,,,,,,,,,
1261.25,2.598,21.6,17281,17283,17532,270,,,,,,,,,,,,,
1266.25,3.056,23.4,17332,17334,17571,279,,,,,,,,,,,,,
1271.25,2.630,21.7,17384,17385,17611,287,,,,,,,,,,,,,
1291.25,2.410,20.8,17590,17591,17768,308,,,,,,,,,,,,,
1301.25,2.655,21.8,17693,17694,17848,313,,,,,,,,,,,,,
1322.25,3.042,23.4,17909,17911,18014,312,,,,,,,,,,,,,
1332.25,2.324,20.3,18012,18014,18093,305,,,,,,,,,,,,,
1342.25,2.420,20.8,18115,18117,18173,296,,,,,,,,,,,,,
1347.25,2.939,23.0,18166,18169,18212,289,,,,,,,,,,,,,
1357.25,3.047,23.4,18269,18272,18292,273,,,,,,,,,,,,,
1392.25,2.495,21.1,18630,18635,18572,160,,,,,,,,,,,,,
1407.25,2.653,21.8,18784,18830,18772,87,,,,,,,,,,,,,
