,,Proxy depth,Published Proxy,Published Proxy,Published age,Published Temperature,Marine09 age,Age model error,,,14C depth,14C age,14C error,忖R,忖R error,Marine09 age,,,,,
,,73.00,3.1900,0.8900,3776.00,2.04,3789.75,218.40,,,,,,,,,,,,,
,,74.00,3.4000,0.9500,3843.00,2.18,3856.74,229.63,,,,,,,,,,,,,
,,75.00,2.6400,0.4300,3910.00,1.54,3923.69,238.76,,,,,,,,,,,,,
,,76.00,3.9600,1.4300,3976.00,2.70,3990.60,246.02,,,,,,,,,,,,,
,,78.00,2.7300,0.5200,4110.00,1.63,4124.32,255.55,,,,,,,,,,,,,
,,79.00,3.6700,1.2100,4176.00,2.44,4191.14,257.99,,,,,,,,,,,,,
,,80.00,3.0500,0.7300,4243.00,1.89,4257.93,258.95,,,,,,,,,,,,,
,,81.00,2.6800,0.4900,4310.00,1.59,4324.68,258.45,,,,,,,,,,,,,
,,82.00,2.9900,0.7500,4376.00,1.87,4391.41,256.48,,,,,,,,,,,,,
,,83.00,3.0000,0.7100,4443.00,1.86,4458.10,253.00,,,,,,,,,,,,,
,,84.00,3.1300,0.8400,4510.00,1.99,4524.77,247.96,,,,,,,,,,,,,
,,85.00,3.1600,0.8100,4576.00,1.99,4591.40,241.25,,,,,,,,,,,,,
,,86.00,2.7700,0.5500,4643.00,1.66,4657.99,232.74,,,,,,,,,,,,,
,,87.00,3.6500,1.1700,4710.00,2.41,4724.54,222.21,,,,,,,,,,,,,
,,88.00,2.8300,0.5900,4777.00,1.71,4791.05,209.38,,,,,,,,,,,,,
,,89.00,2.5600,0.3800,4843.00,1.47,4857.49,193.80,,,,,,,,,,,,,
,,90.00,4.0800,1.5700,4910.00,2.83,4923.85,174.73,,,,,,,,,,,,,
,,91.00,3.0600,0.7700,4977.00,1.92,4990.10,150.91,,,,,,,,,,,,,
,,92.00,2.4000,0.2700,5043.00,1.34,5056.14,119.63,,,,,,,,,,,,,
,,93.00,3.1600,0.8300,5110.00,2.00,5121.01,73.56,,,,,,,,,,,,,
,,94.00,3.5900,1.0900,5168.00,2.34,5181.07,114.90,,,,,,,,,,,,,
,,95.00,3.8200,1.2400,5227.00,2.53,5239.87,143.76,,,,,,,,,,,,,
,,96.00,3.0800,0.7600,5285.00,1.92,5298.46,165.93,,,,,,,,,,,,,
,,97.00,4.4500,1.7100,5343.00,3.08,5356.91,183.77,,,,,,,,,,,,,
,,98.00,3.9500,1.3500,5401.00,2.65,5415.28,198.40,,,,,,,,,,,,,
,,99.00,4.4200,1.7000,5460.00,3.06,5473.59,210.47,,,,,,,,,,,,,
,,100.00,4.8400,1.9000,5518.00,3.37,5531.84,220.39,,,,,,,,,,,,,
,,101.00,5.7500,2.6200,5576.00,4.19,5590.04,228.44,,,,,,,,,,,,,
,,102.00,5.4000,2.3400,5635.00,3.87,5648.21,234.78,,,,,,,,,,,,,
,,103.00,4.7700,1.8300,5693.00,3.30,5706.33,239.56,,,,,,,,,,,,,
,,104.00,3.8800,1.3200,5751.00,2.60,5764.42,242.86,,,,,,,,,,,,,
,,105.00,4.6100,1.7900,5809.00,3.20,5822.48,244.73,,,,,,,,,,,,,
,,106.00,5.9200,2.7100,5868.00,4.32,5880.50,245.19,,,,,,,,,,,,,
,,107.00,4.9300,1.9600,5926.00,3.45,5938.49,244.25,,,,,,,,,,,,,
,,108.00,4.9100,1.9100,5984.00,3.41,5996.45,241.89,,,,,,,,,,,,,
,,109.00,4.3800,1.5100,6042.00,2.95,6054.37,238.06,,,,,,,,,,,,,
,,110.00,3.9900,1.3500,6101.00,2.67,6112.25,232.67,,,,,,,,,,,,,
,,111.00,3.3200,0.9400,6159.00,2.13,6170.09,225.61,,,,,,,,,,,,,
,,112.00,2.8200,0.5400,6217.00,1.68,6227.89,216.69,,,,,,,,,,,,,
,,113.00,4.3800,1.6600,6276.00,3.02,6285.63,205.66,,,,,,,,,,,,,
,,114.00,3.4900,1.0200,6334.00,2.26,6343.31,192.13,,,,,,,,,,,,,
,,115.00,4.1000,1.4900,6392.00,2.80,6400.90,175.49,,,,,,,,,,,,,
,,116.00,2.7100,0.4700,6450.00,1.59,6458.36,154.64,,,,,,,,,,,,,
,,117.00,2.8400,0.6000,6509.00,1.72,6515.60,127.30,,,,,,,,,,,,,
,,118.00,3.4300,1.0500,6567.00,2.24,6571.59,84.33,,,,,,,,,,,,,
,,119.00,2.5500,0.4000,6610.00,1.48,6616.02,118.39,,,,,,,,,,,,,
,,120.00,2.6900,0.4700,6652.00,1.58,6659.61,141.41,,,,,,,,,,,,,
,,121.00,2.5800,0.3700,6695.00,1.48,6703.05,159.75,,,,,,,,,,,,,
,,122.00,2.6000,0.4000,6738.00,1.50,6746.42,175.01,,,,,,,,,,,,,
,,123.00,2.7100,0.4700,6781.00,1.59,6789.73,188.01,,,,,,,,,,,,,
,,124.00,2.6700,0.4500,6824.00,1.56,6833.01,199.21,,,,,,,,,,,,,
,,125.00,3.3800,0.9600,6866.00,2.17,6876.25,208.91,,,,,,,,,,,,,
,,126.00,4.7500,1.8300,6909.00,3.29,6919.46,217.34,,,,,,,,,,,,,
,,127.00,3.0700,0.7300,6952.00,1.90,6962.65,224.63,,,,,,,,,,,,,
,,128.00,3.4300,0.9800,6994.00,2.21,7005.83,230.91,,,,,,,,,,,,,
,,129.00,4.0500,1.4100,7037.00,2.73,7048.98,236.25,,,,,,,,,,,,,
,,130.00,3.5300,1.0500,7080.00,2.29,7092.12,240.73,,,,,,,,,,,,,
,,131.00,5.3400,2.2600,7123.00,3.80,7135.24,244.40,,,,,,,,,,,,,
,,132.00,5.4900,2.2900,7166.00,3.89,7178.35,247.28,,,,,,,,,,,,,
,,133.00,5.4100,2.2300,7208.00,3.82,7221.44,249.42,,,,,,,,,,,,,
,,134.00,3.1400,0.6900,7251.00,1.92,7264.52,250.83,,,,,,,,,,,,,
,,135.00,3.1700,0.8300,7294.00,2.00,7307.59,251.53,,,,,,,,,,,,,
,,136.00,3.4000,0.9700,7336.00,2.19,7350.64,251.53,,,,,,,,,,,,,
,,137.00,4.1400,1.3900,7379.00,2.77,7393.68,250.82,,,,,,,,,,,,,
,,138.00,3.6800,1.1800,7422.00,2.43,7436.71,249.41,,,,,,,,,,,,,
,,139.00,3.4500,1.0000,7465.00,2.23,7479.72,247.27,,,,,,,,,,,,,
,,140.00,2.5800,0.3900,7508.00,1.49,7522.72,244.40,,,,,,,,,,,,,
,,141.00,2.6000,0.4100,7550.00,1.51,7565.71,240.78,,,,,,,,,,,,,
,,142.00,3.5500,1.1400,7593.00,2.35,7608.68,236.35,,,,,,,,,,,,,
,,143.00,5.3900,2.3500,7636.00,3.87,7651.64,231.09,,,,,,,,,,,,,
,,144.00,4.6900,1.7900,7678.00,3.24,7694.58,224.94,,,,,,,,,,,,,
,,145.00,6.2200,2.9300,7721.00,4.58,7737.50,217.82,,,,,,,,,,,,,
,,146.00,4.6900,1.7500,7764.00,3.22,7780.40,209.63,,,,,,,,,,,,,
,,147.00,5.1000,2.0900,7807.00,3.60,7823.28,200.25,,,,,,,,,,,,,
,,148.00,6.2600,3.0200,7850.00,4.64,7866.13,189.50,,,,,,,,,,,,,
,,149.00,6.3700,3.1300,7892.00,4.75,7908.95,177.14,,,,,,,,,,,,,
,,150.00,4.4300,1.7300,7935.00,3.08,7951.73,162.81,,,,,,,,,,,,,
,,151.00,6.0000,2.8000,7978.00,4.40,7994.46,145.93,,,,,,,,,,,,,
,,152.00,6.7100,3.5400,8020.00,5.13,8037.11,125.51,,,,,,,,,,,,,
,,153.00,5.9200,2.7400,8063.00,4.33,8079.61,99.41,,,,,,,,,,,,,
,,154.00,6.0100,2.7400,8106.00,4.38,8121.27,61.20,,,,,,,,,,,,,
,,155.00,5.8800,2.7100,8140.00,4.30,8158.83,93.08,,,,,,,,,,,,,
,,156.00,5.2700,2.1800,8174.00,3.73,8195.55,114.85,,,,,,,,,,,,,
,,157.00,4.1000,1.5200,8209.00,2.81,8232.11,131.45,,,,,,,,,,,,,
,,158.00,4.0200,1.4500,8243.00,2.74,8268.59,144.65,,,,,,,,,,,,,
,,159.00,3.9600,1.4700,8277.00,2.72,8305.01,155.33,,,,,,,,,,,,,
,,160.00,5.0700,2.1200,8311.00,3.60,8341.38,163.97,,,,,,,,,,,,,
,,161.00,5.7100,2.7700,8345.00,4.24,8377.71,170.88,,,,,,,,,,,,,
,,162.00,3.9300,1.4700,8379.00,2.70,8414.02,176.26,,,,,,,,,,,,,
,,163.00,3.8900,1.4500,8414.00,2.67,8450.29,180.25,,,,,,,,,,,,,
,,164.00,3.5400,1.1700,8448.00,2.36,8486.54,182.95,,,,,,,,,,,,,
,,165.00,3.2700,0.9500,8482.00,2.11,8522.76,184.39,,,,,,,,,,,,,
,,166.00,3.7600,1.3600,8516.00,2.56,8558.95,184.63,,,,,,,,,,,,,
,,167.00,4.1900,1.6300,8550.00,2.91,8595.12,183.66,,,,,,,,,,,,,
,,168.00,6.4200,3.3000,8584.00,4.86,8631.26,181.46,,,,,,,,,,,,,
,,169.00,6.5300,3.5000,8619.00,5.02,8667.38,177.98,,,,,,,,,,,,,
,,170.00,4.8900,2.1900,8653.00,3.54,8703.47,173.16,,,,,,,,,,,,,
,,171.00,4.3800,1.8100,8687.00,3.10,8739.52,166.87,,,,,,,,,,,,,
,,172.00,4.2000,1.6700,8721.00,2.94,8775.54,158.94,,,,,,,,,,,,,
,,173.00,5.5000,2.5700,8755.00,4.04,8811.51,149.12,,,,,,,,,,,,,
,,174.00,5.0300,2.2700,8789.00,3.65,8847.42,137.00,,,,,,,,,,,,,
,,175.00,5.3800,2.3000,8824.00,3.84,8883.25,121.91,,,,,,,,,,,,,
,,176.00,6.8600,3.7100,8858.00,5.29,8918.92,102.57,,,,,,,,,,,,,
,,177.00,6.7100,3.5400,8892.00,5.13,8953.75,76.18,,,,,,,,,,,,,
,,178.00,6.4000,3.2800,8917.00,4.84,8986.76,96.88,,,,,,,,,,,,,
,,179.00,5.7100,2.5400,8943.00,4.13,9018.88,111.99,,,,,,,,,,,,,
,,180.00,6.5900,3.4100,8968.00,5.00,9050.83,123.09,,,,,,,,,,,,,
,,181.00,6.7800,3.6500,8993.00,5.22,9082.68,131.14,,,,,,,,,,,,,
,,182.00,6.6100,3.4400,9018.00,5.03,9114.46,136.67,,,,,,,,,,,,,
,,183.00,6.5700,3.3400,9044.00,4.96,9146.18,139.96,,,,,,,,,,,,,
,,184.00,6.6300,3.4500,9069.00,5.04,9177.84,141.16,,,,,,,,,,,,,
,,185.00,6.8300,3.7100,9094.00,5.27,9209.46,140.32,,,,,,,,,,,,,
,,186.00,7.1900,4.1300,9119.00,5.66,9241.03,137.38,,,,,,,,,,,,,
,,187.00,7.0400,3.9700,9145.00,5.51,9272.54,132.21,,,,,,,,,,,,,
,,188.00,7.2700,4.2400,9170.00,5.76,9303.99,124.52,,,,,,,,,,,,,
,,189.00,6.9100,3.7800,9195.00,5.35,9335.37,113.79,,,,,,,,,,,,,
,,190.00,7.0000,3.8900,9220.00,5.45,9366.66,99.04,,,,,,,,,,,,,
,,191.00,7.1400,4.0800,9246.00,5.61,9397.77,77.98,,,,,,,,,,,,,
,,192.00,7.2300,4.2200,9271.00,5.73,9428.00,41.85,,,,,,,,,,,,,
,,193.00,6.8600,3.7400,9291.00,5.30,9443.69,61.13,,,,,,,,,,,,,
,,194.00,6.8300,3.6900,9311.00,5.26,9458.88,73.94,,,,,,,,,,,,,
,,195.00,7.0000,3.9200,9331.00,5.46,9473.98,83.40,,,,,,,,,,,,,
,,196.00,6.9800,3.8700,9351.00,5.43,9489.03,90.56,,,,,,,,,,,,,
,,197.00,6.8200,3.6900,9371.00,5.26,9504.03,95.92,,,,,,,,,,,,,
,,198.00,7.1300,3.9200,9391.00,5.53,9519.00,99.80,,,,,,,,,,,,,
,,199.00,6.6500,3.4800,9411.00,5.07,9533.93,102.34,,,,,,,,,,,,,
,,200.00,7.1900,4.1800,9430.00,5.69,9548.84,103.64,,,,,,,,,,,,,
,,201.00,6.8800,3.7900,9450.00,5.34,9563.73,103.75,,,,,,,,,,,,,
,,202.00,7.4200,4.4400,9470.00,5.93,9578.58,102.67,,,,,,,,,,,,,
,,203.00,7.4700,4.5100,9490.00,5.99,9593.40,100.35,,,,,,,,,,,,,
,,204.00,7.3800,4.4000,9510.00,5.89,9608.17,96.70,,,,,,,,,,,,,
,,205.00,7.3000,4.3000,9530.00,5.80,9622.90,91.53,,,,,,,,,,,,,
,,206.00,7.0000,3.9500,9550.00,5.48,9637.52,84.53,,,,,,,,,,,,,
,,207.00,7.6800,4.7700,9570.00,6.23,9651.65,74.75,,,,,,,,,,,,,
,,208.00,7.3300,4.3300,9582.00,5.83,9666.49,85.52,,,,,,,,,,,,,
,,209.00,7.2200,4.1800,9593.00,5.70,9680.81,94.71,,,,,,,,,,,,,
,,210.00,7.0500,3.9200,9605.00,5.49,9695.03,102.63,,,,,,,,,,,,,
,,211.00,6.9400,3.8400,9616.00,5.39,9709.20,109.53,,,,,,,,,,,,,
,,212.00,7.2800,4.2700,9628.00,5.78,9723.34,115.60,,,,,,,,,,,,,
,,213.00,7.0500,3.9300,9640.00,5.49,9737.45,120.94,,,,,,,,,,,,,
,,214.00,6.8100,3.6500,9651.00,5.23,9751.54,125.67,,,,,,,,,,,,,
,,215.00,7.4700,4.5100,9663.00,5.99,9765.62,129.84,,,,,,,,,,,,,
,,216.00,7.4100,4.4000,9675.00,5.91,9779.68,133.49,,,,,,,,,,,,,
,,217.00,7.6000,4.6700,9686.00,6.14,9793.72,136.69,,,,,,,,,,,,,
,,218.00,7.5300,4.6100,9698.00,6.07,9807.76,139.44,,,,,,,,,,,,,
,,219.00,7.0900,4.0600,9709.00,5.58,9821.78,141.79,,,,,,,,,,,,,
,,220.00,7.1500,4.1500,9721.00,5.65,9835.79,143.74,,,,,,,,,,,,,
,,221.00,7.1000,4.0900,9733.00,5.60,9849.80,145.32,,,,,,,,,,,,,
,,222.00,7.2000,4.2000,9744.00,5.70,9863.79,146.53,,,,,,,,,,,,,
,,223.00,7.6700,4.7600,9756.00,6.22,9877.78,147.39,,,,,,,,,,,,,
,,224.00,7.2400,4.2400,9768.00,5.74,9891.75,147.90,,,,,,,,,,,,,
,,225.00,7.2000,4.2100,9779.00,5.71,9905.72,148.06,,,,,,,,,,,,,
,,226.00,7.1100,4.1000,9791.00,5.61,9919.68,147.87,,,,,,,,,,,,,
,,227.00,7.0600,4.0200,9802.00,5.54,9933.63,147.34,,,,,,,,,,,,,
,,228.00,6.2500,3.0400,9814.00,4.65,9947.57,146.45,,,,,,,,,,,,,
,,229.00,6.4100,3.2200,9826.00,4.82,9961.50,145.21,,,,,,,,,,,,,
,,230.00,6.5100,3.3400,9837.00,4.93,9975.42,143.59,,,,,,,,,,,,,
,,231.00,6.6100,3.4800,9849.00,5.05,9989.32,141.59,,,,,,,,,,,,,
,,232.00,6.5600,3.4100,9860.00,4.99,10003.22,139.19,,,,,,,,,,,,,
,,233.00,6.7100,3.5900,9872.00,5.15,10017.10,136.37,,,,,,,,,,,,,
,,234.00,6.8100,3.7300,9884.00,5.27,10030.97,133.10,,,,,,,,,,,,,
,,235.00,6.6500,3.5600,9895.00,5.11,10044.83,129.35,,,,,,,,,,,,,
,,236.00,6.7400,3.6600,9907.00,5.20,10058.66,125.06,,,,,,,,,,,,,
,,237.00,6.3100,3.0600,9919.00,4.69,10072.46,120.18,,,,,,,,,,,,,
,,238.00,6.7400,3.6300,9930.00,5.19,10086.23,114.63,,,,,,,,,,,,,
,,239.00,6.2400,2.9400,9942.00,4.59,10099.96,108.30,,,,,,,,,,,,,
,,240.00,6.4600,3.2100,9953.00,4.84,10113.58,101.00,,,,,,,,,,,,,
,,241.00,6.3000,3.0100,9965.00,4.66,10126.68,92.25,,,,,,,,,,,,,
,,242.00,6.3600,3.1000,9975.00,4.73,10147.24,98.49,,,,,,,,,,,,,
,,243.00,6.3200,3.0300,9984.00,4.68,10167.35,102.40,,,,,,,,,,,,,
,,244.00,6.9700,3.8500,9994.00,5.41,10187.35,104.15,,,,,,,,,,,,,
,,245.00,6.6800,3.5300,10003.00,5.11,10207.29,103.85,,,,,,,,,,,,,
,,246.00,6.8600,3.6800,10013.00,5.27,10227.18,101.44,,,,,,,,,,,,,
,,247.00,6.5400,3.3100,10022.00,4.93,10247.01,96.77,,,,,,,,,,,,,
,,248.00,6.7400,3.5600,10032.00,5.15,10266.77,89.46,,,,,,,,,,,,,
,,249.00,7.0400,4.0100,10041.00,5.53,10286.44,78.73,,,,,,,,,,,,,
,,250.00,6.6900,3.5100,10057.00,5.10,10305.64,62.45,,,,,,,,,,,,,
,,251.00,6.6000,3.3800,10079.00,4.99,10326.91,82.41,,,,,,,,,,,,,
,,252.00,6.4000,3.1400,10101.00,4.77,10347.50,98.16,,,,,,,,,,,,,
,,253.00,6.9200,3.8100,10123.00,5.37,10367.96,111.38,,,,,,,,,,,,,
,,254.00,6.5900,3.4300,10145.00,5.01,10388.37,122.88,,,,,,,,,,,,,
,,255.00,6.6700,3.5200,10167.00,5.10,10408.74,133.10,,,,,,,,,,,,,
,,256.00,6.8200,3.7300,10189.00,5.28,10429.08,142.31,,,,,,,,,,,,,
,,257.00,5.8800,2.6800,10211.00,4.28,10449.39,150.69,,,,,,,,,,,,,
,,258.00,6.8100,3.7000,10233.00,5.26,10469.69,158.39,,,,,,,,,,,,,
,,259.00,6.8200,3.6500,10255.00,5.24,10489.97,165.48,,,,,,,,,,,,,
,,260.00,6.1000,3.0100,10278.00,4.56,10510.23,172.05,,,,,,,,,,,,,
,,261.00,5.7200,2.6500,10300.00,4.19,10530.49,178.15,,,,,,,,,,,,,
,,262.00,6.1700,2.9800,10322.00,4.58,10550.73,183.83,,,,,,,,,,,,,
,,263.00,6.1800,2.9600,10344.00,4.57,10570.97,189.13,,,,,,,,,,,,,
,,264.00,5.4700,2.5800,10366.00,4.03,10591.20,194.08,,,,,,,,,,,,,
,,265.00,6.2500,2.9800,10388.00,4.62,10611.42,198.69,,,,,,,,,,,,,
,,266.00,7.1000,3.9400,10410.00,5.52,10631.63,203.01,,,,,,,,,,,,,
,,267.00,6.8800,3.7500,10432.00,5.32,10651.83,207.03,,,,,,,,,,,,,
,,268.00,6.4600,3.3400,10454.00,4.90,10672.03,210.79,,,,,,,,,,,,,
,,269.00,7.3700,4.2700,10476.00,5.82,10692.22,214.29,,,,,,,,,,,,,
,,270.00,6.8600,3.6700,10498.00,5.27,10712.41,217.55,,,,,,,,,,,,,
,,271.00,5.1100,2.2100,10520.00,3.66,10732.59,220.57,,,,,,,,,,,,,
,,272.00,6.7100,3.5700,10542.00,5.14,10752.76,223.38,,,,,,,,,,,,,
,,273.00,6.8500,3.7400,10564.00,5.30,10772.93,225.96,,,,,,,,,,,,,
,,274.00,6.9600,3.8100,10586.00,5.39,10793.10,228.34,,,,,,,,,,,,,
,,275.00,6.7800,3.6000,10608.00,5.19,10813.26,230.51,,,,,,,,,,,,,
,,276.00,7.1700,4.0500,10630.00,5.61,10833.42,232.49,,,,,,,,,,,,,
,,277.00,6.4800,3.2200,10652.00,4.85,10853.57,234.28,,,,,,,,,,,,,
,,278.00,4.8300,1.9600,10674.00,3.40,10873.71,235.88,,,,,,,,,,,,,
,,279.00,5.9400,2.7000,10696.00,4.32,10893.85,237.29,,,,,,,,,,,,,
,,280.00,7.1400,4.0000,10718.00,5.57,10913.99,238.53,,,,,,,,,,,,,
,,281.00,6.5600,3.3900,10740.00,4.98,10934.12,239.58,,,,,,,,,,,,,
,,282.00,4.7900,1.8000,10762.00,3.30,10954.25,240.46,,,,,,,,,,,,,
,,283.00,4.5000,1.7600,10784.00,3.13,10974.38,241.17,,,,,,,,,,,,,
,,284.00,4.3700,1.7000,10807.00,3.04,10994.50,241.70,,,,,,,,,,,,,
,,285.00,6.1400,2.9700,10829.00,4.56,11014.61,242.06,,,,,,,,,,,,,
,,286.00,5.2100,2.2900,10851.00,3.75,11034.72,242.26,,,,,,,,,,,,,
,,287.00,5.2300,2.2300,10873.00,3.73,11054.83,242.27,,,,,,,,,,,,,
,,288.00,5.8900,2.8200,10895.00,4.36,11074.93,242.12,,,,,,,,,,,,,
,,289.00,6.2800,3.1200,10917.00,4.70,11095.03,241.80,,,,,,,,,,,,,
,,290.00,4.7700,2.0300,10939.00,3.40,11115.12,241.30,,,,,,,,,,,,,
,,291.00,3.5300,1.0800,10961.00,2.31,11135.21,240.63,,,,,,,,,,,,,
,,292.00,3.5900,1.0700,10983.00,2.33,11155.29,239.79,,,,,,,,,,,,,
,,293.00,3.2500,0.8000,11005.00,2.03,11175.37,238.76,,,,,,,,,,,,,
,,294.00,3.8100,1.2900,11027.00,2.55,11195.44,237.56,,,,,,,,,,,,,
,,295.00,4.2100,1.6200,11049.00,2.92,11215.51,236.17,,,,,,,,,,,,,
,,296.00,4.3900,1.6600,11071.00,3.03,11235.57,234.60,,,,,,,,,,,,,
,,297.00,2.2100,0.1300,11093.00,1.17,11255.62,232.84,,,,,,,,,,,,,
,,300.00,2.1600,0.0800,11159.00,1.12,11315.75,226.35,,,,,,,,,,,,,
,,305.00,2.9300,0.7000,11270.00,1.82,11415.81,211.11,,,,,,,,,,,,,
