,,Proxy depth,Published Proxy,Published Proxy,Published age,Published Temperature,Marine09 age,Age model error,,,14C depth,14C age,14C error,忖R,忖R error,Marine09 age,,,,,
,TN057-17TC,14.00,4.7300,2.3600,643.74,3.55,647.66,265.29,,,,,,,,,,,,,
,TN057-17TC,15.00,4.4600,2.0800,689.72,3.27,693.89,271.38,,,,,,,,,,,,,
,TN057-17TC,16.00,7.1900,4.7800,735.70,5.99,740.11,276.90,,,,,,,,,,,,,
,TN057-17TC,17.00,2.8600,0.2400,781.68,1.55,786.34,281.89,,,,,,,,,,,,,
,TN057-17TC,18.00,5.9100,3.4900,827.66,4.70,832.56,286.39,,,,,,,,,,,,,
,TN057-17TC,19.00,4.8700,2.4800,873.64,3.68,878.78,290.41,,,,,,,,,,,,,
,TN057-17TC,20.00,4.4900,2.1700,919.62,3.33,925.00,293.98,,,,,,,,,,,,,
,TN057-17TC,21.00,6.9100,4.2800,965.60,5.60,971.22,297.10,,,,,,,,,,,,,
,TN057-17TC,22.00,4.8300,2.7000,1011.58,3.77,1017.43,299.80,,,,,,,,,,,,,
,TN057-17TC,23.00,2.2400,-0.4200,1057.57,0.91,1063.65,302.08,,,,,,,,,,,,,
,TN057-17TC,24.00,5.5700,3.0800,1103.55,4.33,1109.86,303.95,,,,,,,,,,,,,
,TN057-17TC,25.00,4.7300,2.3600,1149.53,3.55,1156.07,305.43,,,,,,,,,,,,,
,TN057-17TC,26.00,6.6500,4.0200,1195.51,5.34,1202.28,306.51,,,,,,,,,,,,,
,TN057-17TC,27.00,4.6800,2.2500,1241.49,3.47,1248.49,307.21,,,,,,,,,,,,,
,TN057-17TC,28.00,5.1700,2.8600,1287.47,4.02,1294.70,307.51,,,,,,,,,,,,,
,TN057-17TC,29.00,4.0800,1.6700,1333.45,2.88,1340.91,307.43,,,,,,,,,,,,,
,TN057-17TC,30.00,2.9300,0.4200,1379.43,1.68,1387.12,306.97,,,,,,,,,,,,,
,TN057-17TC,31.00,3.5600,1.3900,1425.42,2.48,1433.32,306.12,,,,,,,,,,,,,
,TN057-17TC,32.00,3.5600,1.3900,1471.40,2.48,1479.52,304.87,,,,,,,,,,,,,
,TN057-17TC,33.00,3.1400,0.6500,1517.38,1.90,1525.73,303.23,,,,,,,,,,,,,
,TN057-17TC,34.00,5.6500,3.0800,1563.36,4.37,1571.93,301.18,,,,,,,,,,,,,
,TN057-17TC,35.00,4.2200,1.8900,1609.34,3.06,1618.13,298.73,,,,,,,,,,,,,
,TN057-17TC,36.00,5.0400,2.7000,1655.32,3.87,1664.32,295.85,,,,,,,,,,,,,
,TN057-17TC,37.00,2.7800,0.0500,1701.30,1.42,1710.52,292.53,,,,,,,,,,,,,
,TN057-17TC,38.00,2.7600,0.0200,1747.28,1.39,1756.72,288.77,,,,,,,,,,,,,
,TN057-17TC,39.00,3.8700,1.3800,1793.26,2.63,1802.91,284.54,,,,,,,,,,,,,
,TN057-17TC,40.00,3.2500,0.9500,1839.25,2.10,1849.10,279.81,,,,,,,,,,,,,
,TN057-17TC,41.00,2.7800,0.0500,1885.23,1.42,1895.29,274.57,,,,,,,,,,,,,
,TN057-17TC,42.00,2.7800,0.3800,1931.21,1.58,1941.48,268.79,,,,,,,,,,,,,
,TN057-17TC,43.00,2.7800,0.2400,1977.19,1.51,1987.66,262.42,,,,,,,,,,,,,
,TN057-17TC,44.00,4.3400,1.8300,2023.17,3.09,2033.84,255.42,,,,,,,,,,,,,
,TN057-17TC,45.00,3.0100,0.1900,2069.15,1.60,2080.02,247.74,,,,,,,,,,,,,
,TN057-17TC,46.00,3.4100,0.7300,2115.13,2.07,2126.20,239.31,,,,,,,,,,,,,
,TN057-17TC,47.00,2.6600,0.1300,2161.11,1.40,2172.37,230.05,,,,,,,,,,,,,
,TN057-17TC,48.00,4.1000,1.6800,2207.09,2.89,2218.53,219.84,,,,,,,,,,,,,
,TN057-17TC,49.00,5.4200,2.8700,2253.08,4.15,2264.70,208.55,,,,,,,,,,,,,
,TN057-17TC,50.00,4.7300,2.3600,2299.06,3.55,2310.85,195.99,,,,,,,,,,,,,
,TN057-17TC,51.00,3.6900,0.5900,2345.04,2.14,2356.99,181.86,,,,,,,,,,,,,
,TN057-17TC,52.00,6.4300,4.3000,2391.02,5.37,2403.10,165.74,,,,,,,,,,,,,
,TN057-17TC,53.00,6.9800,4.7700,2437.00,5.88,2449.07,146.49,,,,,,,,,,,,,
,TN057-17TC,54.00,4.2300,1.5700,2482.28,2.90,2494.20,164.13,,,,,,,,,,,,,
,TN057-17TC,55.00,5.7000,3.3800,2527.55,4.54,2539.28,178.80,,,,,,,,,,,,,
,TN057-17TC,56.00,3.5900,1.3600,2572.83,2.48,2584.35,191.54,,,,,,,,,,,,,
,TN057-17TC,57.00,2.7900,-0.0600,2618.10,1.37,2629.41,202.75,,,,,,,,,,,,,
,TN057-17TC,59.00,2.3400,-0.1000,2708.65,1.12,2719.53,221.53,,,,,,,,,,,,,
,TN057-17TC,60.00,6.5400,4.5500,2753.93,5.55,2764.59,229.41,,,,,,,,,,,,,
,TN057-17TC,61.00,5.0900,2.6200,2799.20,3.86,2809.64,236.43,,,,,,,,,,,,,
,TN057-17TC,62.00,2.9300,0.4200,2844.48,1.68,2854.69,242.67,,,,,,,,,,,,,
,TN057-17TC,63.00,4.9600,2.4700,2889.75,3.72,2899.74,248.18,,,,,,,,,,,,,
,TN057-17TC,64.00,3.4400,1.1200,2935.03,2.28,2944.79,253.02,,,,,,,,,,,,,
,TN057-17TC,65.00,3.5700,0.9300,2980.30,2.25,2989.84,257.23,,,,,,,,,,,,,
,TN057-17TC,66.00,3.7300,1.2600,3025.58,2.50,3034.89,260.84,,,,,,,,,,,,,
,TN057-17TC,67.00,2.5900,0.1300,3070.85,1.36,3079.94,263.87,,,,,,,,,,,,,
,TN057-17TC,68.00,2.7400,-0.0800,3116.13,1.33,3124.99,266.34,,,,,,,,,,,,,
,TN057-17TC,69.00,3.8700,1.3400,3161.40,2.61,3170.03,268.28,,,,,,,,,,,,,
,TN057-17TC,70.00,4.1200,1.7300,3206.68,2.93,3215.08,269.69,,,,,,,,,,,,,
,TN057-17TC,71.00,3.5600,1.3900,3251.95,2.48,3260.12,270.59,,,,,,,,,,,,,
,TN057-17TC,72.00,4.9400,2.5500,3297.23,3.75,3305.17,270.98,,,,,,,,,,,,,
,TN057-17TC,73.00,3.9100,1.0400,3342.50,2.48,3350.21,270.86,,,,,,,,,,,,,
,TN057-17TC,74.00,2.7600,0.0200,3387.78,1.39,3395.25,270.23,,,,,,,,,,,,,
,TN057-17TC,75.00,3.5600,1.3900,3433.05,2.48,3440.29,269.10,,,,,,,,,,,,,
,TN057-17TC,76.00,2.9300,0.4200,3478.33,1.68,3485.33,267.45,,,,,,,,,,,,,
,TN057-17TC,77.00,2.8500,0.4200,3523.60,1.64,3530.37,265.28,,,,,,,,,,,,,
,TN057-17TC,78.00,3.7500,1.5000,3568.88,2.63,3575.41,262.57,,,,,,,,,,,,,
,TN057-17TC,79.00,3.8700,1.4700,3614.15,2.67,3620.45,259.32,,,,,,,,,,,,,
,TN057-17TC,80.00,2.2600,-0.4000,3659.43,0.93,3665.49,255.50,,,,,,,,,,,,,
,TN057-17TC,81.00,3.3200,0.6200,3704.70,1.97,3710.53,251.08,,,,,,,,,,,,,
,TN057-17TC,82.00,3.1200,0.5900,3749.98,1.86,3755.56,246.05,,,,,,,,,,,,,
,TN057-17TC,83.00,4.9800,2.5200,3795.25,3.75,3800.60,240.35,,,,,,,,,,,,,
,TN057-17TC,84.00,2.9300,0.4200,3840.53,1.68,3845.63,233.95,,,,,,,,,,,,,
,TN057-17TC,85.00,3.5900,1.3600,3885.80,2.48,3890.66,226.79,,,,,,,,,,,,,
,TN057-17TC,86.00,2.8500,0.4200,3931.08,1.64,3935.69,218.80,,,,,,,,,,,,,
,TN057-17TC,87.00,2.8800,0.4000,3976.35,1.64,3980.72,209.90,,,,,,,,,,,,,
,TN057-17TC,88.00,3.6800,1.1900,4021.63,2.44,4025.75,199.96,,,,,,,,,,,,,
,TN057-17TC,89.00,3.1200,0.5900,4066.90,1.86,4070.78,188.84,,,,,,,,,,,,,
,TN057-17TC,90.00,3.0700,0.4900,4112.18,1.78,4115.80,176.34,,,,,,,,,,,,,
,TN057-17TC,91.00,2.8800,0.4000,4157.45,1.64,4160.81,162.20,,,,,,,,,,,,,
,TN057-17TC,92.00,3.4100,0.7300,4202.73,2.07,4205.82,146.06,,,,,,,,,,,,,
,TN057-17TC,93.00,1.9600,-1.0500,4248.00,0.46,4250.77,128.64,,,,,,,,,,,,,
,TN057-17TC,94.00,2.8800,0.4000,4287.64,1.64,4290.20,143.70,,,,,,,,,,,,,
,TN057-17TC,95.00,3.6000,1.1400,4327.28,2.37,4329.44,157.66,,,,,,,,,,,,,
,TN057-17TC,96.00,3.1600,0.1400,4366.92,1.65,4368.65,169.92,,,,,,,,,,,,,
,TN057-17TC,97.00,2.7200,-0.1100,4406.56,1.31,4407.84,180.73,,,,,,,,,,,,,
,TN057-17TC,98.00,3.1500,0.8600,4446.21,2.01,4447.02,190.31,,,,,,,,,,,,,
,TN057-17TC,99.00,2.8800,0.4000,4485.85,1.64,4486.19,198.82,,,,,,,,,,,,,
,TN057-17TC,100.00,2.9900,0.1600,4525.49,1.58,4525.35,206.38,,,,,,,,,,,,,
,TN057-17TC,101.00,2.8500,0.4200,4565.13,1.64,4564.50,213.09,,,,,,,,,,,,,
,TN057-17TC,102.00,3.1200,0.5900,4604.77,1.86,4603.65,219.03,,,,,,,,,,,,,
,TN057-17TC,103.00,2.2600,-0.4000,4644.41,0.93,4642.80,224.24,,,,,,,,,,,,,
,TN057-17TC,104.00,2.8200,0.2100,4684.05,1.52,4681.94,228.77,,,,,,,,,,,,,
,TN057-17TC,105.00,3.0400,0.5400,4723.69,1.79,4721.08,232.67,,,,,,,,,,,,,
,TN057-17TC,106.00,2.8600,0.3700,4763.33,1.62,4760.22,235.96,,,,,,,,,,,,,
,TN057-17TC,108.00,3.7500,1.5600,4842.62,2.66,4838.48,240.80,,,,,,,,,,,,,
,TN057-17TC,109.00,4.5300,2.4100,4882.26,3.47,4877.61,242.39,,,,,,,,,,,,,
,TN057-17TC,110.00,2.6200,0.2100,4921.90,1.42,4916.73,243.43,,,,,,,,,,,,,
,TN057-17TC,112.00,3.9600,1.8100,5001.18,2.89,4994.97,243.92,,,,,,,,,,,,,
,TN057-17TC,113.00,2.8300,0.4000,5040.82,1.62,5034.09,243.35,,,,,,,,,,,,,
,TN057-17TC,114.00,3.5700,0.9300,5080.46,2.25,5073.20,242.25,,,,,,,,,,,,,
,TN057-17TC,115.00,2.9300,0.4200,5120.10,1.68,5112.31,240.60,,,,,,,,,,,,,
,TN057-17TC,116.00,3.4100,0.9500,5159.74,2.18,5151.42,238.39,,,,,,,,,,,,,
,TN057-17TC,117.00,4.7600,2.6500,5199.38,3.71,5190.53,235.61,,,,,,,,,,,,,
,TN057-17TC,118.00,3.3800,0.7600,5239.03,2.07,5229.63,232.22,,,,,,,,,,,,,
,TN057-17TC,119.00,3.5900,1.3600,5278.67,2.48,5268.73,228.21,,,,,,,,,,,,,
,TN057-17TC,120.00,4.5300,2.4100,5318.31,3.47,5307.83,223.53,,,,,,,,,,,,,
,TN057-17TC,121.00,3.8300,1.5500,5357.95,2.69,5346.92,218.16,,,,,,,,,,,,,
,TN057-17TC,122.00,2.7400,0.2900,5397.59,1.52,5386.01,212.02,,,,,,,,,,,,,
,TN057-17TC,123.00,2.8800,0.4000,5437.23,1.64,5425.09,205.06,,,,,,,,,,,,,
,TN057-17TC,124.00,2.8800,0.7000,5476.87,1.79,5464.18,197.18,,,,,,,,,,,,,
,TN057-17TC,125.00,3.5000,0.8800,5516.51,2.19,5503.25,188.26,,,,,,,,,,,,,
,TN057-17TC,127.00,3.1200,0.5900,5595.79,1.86,5581.39,166.64,,,,,,,,,,,,,
,TN057-17TC,128.00,3.7400,1.1500,5635.44,2.45,5620.44,153.39,,,,,,,,,,,,,
,TN057-17TC,129.00,2.2400,-0.4200,5675.08,0.91,5659.49,137.91,,,,,,,,,,,,,
,TN057-17TC,130.00,3.6000,1.0100,5714.72,2.31,5698.51,119.31,,,,,,,,,,,,,
,TN057-17TC,131.00,2.2900,-0.1200,5754.36,1.09,5737.50,95.78,,,,,,,,,,,,,
,TN057-17TC,132.00,3.1300,0.6900,5794.00,1.91,5776.31,61.60,,,,,,,,,,,,,
,TN057-17TC,133.00,3.8700,1.4700,5836.49,2.67,5858.22,99.68,,,,,,,,,,,,,
,TN057-17TC,134.00,3.1600,0.1400,5897.00,1.65,5941.54,98.26,,,,,,,,,,,,,
,TN057-17TC,135.00,4.6400,2.2700,5915.92,3.46,5959.94,107.46,,,,,,,,,,,,,
,TN057-17TC,136.00,3.5100,1.3700,5934.84,2.44,5978.24,116.32,,,,,,,,,,,,,
,TN057-17TC,137.00,3.5100,1.3700,5953.76,2.44,5996.53,124.32,,,,,,,,,,,,,
,TN057-17TC,138.00,2.9300,0.4200,5972.68,1.68,6014.80,131.57,,,,,,,,,,,,,
,TN057-17TC,139.00,2.8500,0.4200,5991.60,1.64,6033.08,138.17,,,,,,,,,,,,,
,TN057-17PC,146.00,3.0200,0.5700,6124.00,1.80,6160.91,171.07,,,,,,,,,,,,,
,TN057-17PC,148.00,2.8500,0.4200,6161.88,1.64,6197.42,177.26,,,,,,,,,,,,,
,TN057-17PC,150.00,3.9000,1.2800,6200.00,2.59,6233.92,182.31,,,,,,,,,,,,,
,TN057-17PC,153.00,5.6700,3.1300,6256.48,4.40,6288.66,187.93,,,,,,,,,,,,,
,TN057-17PC,158.00,3.1200,0.5900,6351.08,1.86,6379.89,192.55,,,,,,,,,,,,,
,TN057-17PC,161.00,3.1400,0.2200,6408.00,1.68,6434.61,192.62,,,,,,,,,,,,,
,TN057-17PC,163.00,3.7600,0.9600,6445.68,2.36,6471.09,191.54,,,,,,,,,,,,,
,TN057-17PC,166.00,5.1500,2.2800,6502.44,3.72,6525.80,188.21,,,,,,,,,,,,,
,TN057-17PC,169.00,4.0400,1.7000,6559.20,2.87,6580.50,182.71,,,,,,,,,,,,,
,TN057-17PC,171.00,3.8000,1.1000,6597.04,2.45,6616.96,177.75,,,,,,,,,,,,,
,TN057-17PC,173.00,4.6600,2.0700,6635.00,3.37,6653.42,171.64,,,,,,,,,,,,,
,TN057-17PC,175.00,4.1600,1.8000,6672.72,2.98,6689.87,164.27,,,,,,,,,,,,,
,TN057-17PC,178.00,3.2200,0.4600,6729.00,1.84,6744.53,150.44,,,,,,,,,,,,,
,TN057-17PC,180.00,2.6300,-0.0400,6767.32,1.30,6780.95,138.95,,,,,,,,,,,,,
,TN057-17PC,183.00,3.7400,1.4800,6824.00,2.61,6835.53,117.16,,,,,,,,,,,,,
,TN057-17PC,186.00,3.3300,0.7400,6855.86,2.04,6865.35,111.41,,,,,,,,,,,,,
,TN057-17PC,191.00,4.2000,2.0700,6888.00,3.14,6894.49,118.04,,,,,,,,,,,,,
,TN057-17PC,194.00,3.7600,1.1400,6907.00,2.45,6911.96,121.20,,,,,,,,,,,,,
,TN057-17PC,200.00,3.8100,0.9800,6945.86,2.40,6946.88,125.69,,,,,,,,,,,,,
,TN057-17PC,202.00,4.1700,1.2800,6958.71,2.73,6958.52,126.66,,,,,,,,,,,,,
,TN057-17PC,206.00,3.4400,0.7100,6984.43,2.08,6981.79,127.84,,,,,,,,,,,,,
,TN057-17PC,211.00,5.4000,2.8400,7016.57,4.12,7010.86,127.88,,,,,,,,,,,,,
,TN057-17PC,216.00,3.0700,0.1000,7048.71,1.59,7039.93,126.29,,,,,,,,,,,,,
,TN057-17PC,221.00,3.9800,1.1500,7081.00,2.57,7068.98,122.96,,,,,,,,,,,,,
,TN057-17PC,232.00,2.8500,0.4200,7151.57,1.64,7132.82,108.10,,,,,,,,,,,,,
,TN057-17PC,236.00,6.3200,3.5900,7182.00,4.96,7164.16,118.26,,,,,,,,,,,,,
,TN057-17PC,240.00,4.6600,2.07000,7214.66,4.66,7198.03,132.45,,,,,,,,,,,,,
,TN057-17PC,244.00,3.0800,0.04000,7247.00,3.08,7231.87,144.20,,,,,,,,,,,,,
,TN057-17PC,248.00,2.8000,0.24000,7279.42,2.80,7265.68,154.02,,,,,,,,,,,,,
,TN057-17PC,252.00,3.4100,0.57000,7312.00,3.41,7299.47,162.24,,,,,,,,,,,,,
,TN057-17PC,256.00,2.8800,-0.38000,7344.18,2.88,7333.25,169.08,,,,,,,,,,,,,
,TN057-17PC,260.00,5.0000,2.22000,7377.00,5.00,7367.02,174.70,,,,,,,,,,,,,
,TN057-17PC,264.00,3.1000,0.30000,7408.94,3.10,7400.79,179.20,,,,,,,,,,,,,
,TN057-17PC,268.00,3.6700,1.18000,7441.00,3.67,7434.54,182.66,,,,,,,,,,,,,
,TN057-17PC,272.00,5.7900,3.07000,7473.69,5.79,7468.30,185.14,,,,,,,,,,,,,
,TN057-17PC,276.00,4.1200,0.56000,7506.00,4.12,7502.04,186.67,,,,,,,,,,,,,
,TN057-17PC,280.00,4.4200,1.87000,7538.45,4.42,7535.78,187.26,,,,,,,,,,,,,
,TN057-17PC,284.00,5.2000,2.69000,7571.00,5.20,7569.51,186.93,,,,,,,,,,,,,
,TN057-17PC,288.00,3.5100,0.37000,7603.21,3.51,7603.24,185.67,,,,,,,,,,,,,
,TN057-17PC,292.00,5.3200,2.62000,7636.00,5.32,7636.96,183.45,,,,,,,,,,,,,
,TN057-17PC,296.00,4.8500,1.82000,7667.97,4.85,7670.67,180.22,,,,,,,,,,,,,
,TN057-17PC,304.00,4.2700,1.65000,7732.73,4.27,7738.08,170.50,,,,,,,,,,,,,
,TN057-17PC,310.00,4.5800,2.31000,7781.29,4.58,7788.61,159.90,,,,,,,,,,,,,
,TN057-17PC,316.00,3.3300,0.74000,7830.00,3.33,7839.12,145.72,,,,,,,,,,,,,
,TN057-17PC,320.00,5.4300,2.54000,7862.24,5.43,7872.76,133.66,,,,,,,,,,,,,
,TN057-17PC,326.00,3.0700,0.51000,7911.00,3.07,7923.14,109.52,,,,,,,,,,,,,
,TN057-17PC,331.00,4.5700,1.15000,7959.00,4.57,7972.48,117.88,,,,,,,,,,,,,
,TN057-17PC,337.00,4.6700,1.86000,7993.56,4.67,8037.93,145.09,,,,,,,,,,,,,
,TN057-17PC,342.00,2.9500,-0.01000,8077.00,2.95,8092.48,161.43,,,,,,,,,,,,,
,TN057-17PC,346.00,3.9800,1.45000,8120.00,3.98,8136.12,171.71,,,,,,,,,,,,,
,TN057-17PC,352.00,4.7300,2.36000,8184.00,4.73,8201.58,183.49,,,,,,,,,,,,,
,TN057-17PC,358.00,3.4000,0.89000,8248.00,3.40,8267.04,191.66,,,,,,,,,,,,,
,TN057-17PC,364.00,3.4000,0.54000,8312.00,3.40,8332.50,196.69,,,,,,,,,,,,,
,TN057-17PC,368.00,3.5900,0.36000,8355.57,3.59,8376.15,198.44,,,,,,,,,,,,,
,TN057-17PC,372.00,4.6600,2.07000,8398.43,4.66,8419.79,198.96,,,,,,,,,,,,,
,TN057-17PC,377.00,5.0500,2.34000,8452.00,5.05,8474.35,197.90,,,,,,,,,,,,,
,TN057-17PC,382.00,3.9600,1.15000,8505.57,3.96,8528.90,194.92,,,,,,,,,,,,,
,TN057-17PC,386.00,3.4600,0.86000,8548.43,3.46,8572.55,191.10,,,,,,,,,,,,,
,TN057-17PC,391.00,3.8200,1.64000,8602.00,3.82,8627.11,184.41,,,,,,,,,,,,,
,TN057-17PC,396.00,3.1700,0.34000,8655.57,3.17,8681.67,175.40,,,,,,,,,,,,,
,TN057-17PC,401.00,4.8600,2.07000,8709.14,4.86,8736.23,163.68,,,,,,,,,,,,,
,TN057-17PC,406.00,4.7900,2.17000,8762.71,4.79,8790.79,148.67,,,,,,,,,,,,,
,TN057-17PC,412.00,4.8500,1.82000,8827.00,4.85,8856.27,124.73,,,,,,,,,,,,,
,TN057-17PC,418.00,3.3300,0.20000,8891.29,3.33,8921.76,90.20,,,,,,,,,,,,,
,TN057-17PC,431.00,4.6600,2.07000,8907.87,4.66,8972.52,99.72,,,,,,,,,,,,,
,TN057-17PC,446.00,4.0400,1.75000,8915.20,4.04,9022.94,106.86,,,,,,,,,,,,,
,TN057-17PC,463.00,2.6800,0.34000,8923.51,2.68,9080.60,103.39,,,,,,,,,,,,,
,TN057-17PC,474.00,3.2700,0.75000,9005.62,3.27,9166.04,141.78,,,,,,,,,,,,,
,TN057-17PC,481.00,2.7700,0.33000,9062.75,2.77,9223.13,163.77,,,,,,,,,,,,,
,TN057-17PC,486.00,3.1500,0.41000,9103.56,3.15,9263.88,177.41,,,,,,,,,,,,,
,TN057-17PC,491.00,5.0500,1.98000,9144.36,5.05,9304.62,189.69,,,,,,,,,,,,,
,TN057-17PC,496.00,3.1900,0.81000,9185.17,3.19,9345.35,200.86,,,,,,,,,,,,,
,TN057-17PC,500.00,3.3800,1.00000,9217.82,3.38,9377.93,209.09,,,,,,,,,,,,,
,TN057-17PC,504.00,1.7900,-1.03000,9250.46,1.79,9410.50,216.77,,,,,,,,,,,,,
,TN057-17PC,507.00,3.5200,0.87000,9274.95,3.52,9434.93,222.20,,,,,,,,,,,,,
,TN057-17PC,511.00,2.7300,-0.13000,9307.60,2.73,9467.50,229.04,,,,,,,,,,,,,
,TN057-17PC,518.00,5.0400,2.24000,9364.73,5.04,9524.49,240.01,,,,,,,,,,,,,
,TN057-17PC,526.00,3.4300,0.83000,9430.02,3.43,9589.61,251.16,,,,,,,,,,,,,
,TN057-17PC,530.00,4.2800,1.59000,9462.67,4.28,9622.17,256.23,,,,,,,,,,,,,
,TN057-17PC,535.00,5.6400,3.25000,9503.47,5.64,9662.86,262.13,,,,,,,,,,,,,
,TN057-17PC,540.00,2.8200,0.04000,9544.28,2.82,9703.55,267.58,,,,,,,,,,,,,
,TN057-17PC,544.00,4.1300,0.71000,9576.93,4.13,9736.10,271.63,,,,,,,,,,,,,
,TN057-17PC,549.00,4.3700,1.49000,9617.74,4.37,9776.79,276.33,,,,,,,,,,,,,
,TN057-17PC,553.00,6.0000,2.97000,9650.38,6.00,9809.34,279.80,,,,,,,,,,,,,
,TN057-17PC,557.00,3.7700,0.77000,9683.03,3.77,9841.88,283.03,,,,,,,,,,,,,
,TN057-17PC,562.00,6.1900,3.22000,9723.84,6.19,9882.56,286.74,,,,,,,,,,,,,
,TN057-17PC,571.00,3.6000,0.66000,9797.29,3.60,9955.78,292.53,,,,,,,,,,,,,
,TN057-17PC,576.00,5.1000,2.20000,9838.10,5.10,9996.45,295.27,,,,,,,,,,,,,
,TN057-17PC,580.00,5.4700,3.14000,9870.75,5.47,10028.99,297.23,,,,,,,,,,,,,
,TN057-17PC,585.00,3.9700,0.97000,9911.56,3.97,10069.66,299.40,,,,,,,,,,,,,
,TN057-17PC,590.00,4.6600,2.07000,9952.36,4.66,10110.33,301.25,,,,,,,,,,,,,
,TN057-17PC,594.00,4.7100,2.09000,9985.01,4.71,10142.86,302.50,,,,,,,,,,,,,
,TN057-17PC,599.00,4.0900,1.48000,10025.82,4.09,10183.53,303.80,,,,,,,,,,,,,
,TN057-17PC,608.00,3.3100,1.15000,10099.27,3.31,10256.72,305.36,,,,,,,,,,,,,
,TN057-17PC,617.00,3.4100,1.12000,10172.73,3.41,10329.91,305.96,,,,,,,,,,,,,
,TN057-17PC,626.00,4.0200,1.66000,10246.18,4.02,10403.09,305.58,,,,,,,,,,,,,
,TN057-17PC,634.00,4.4100,1.96000,10311.47,4.41,10468.14,304.42,,,,,,,,,,,,,
,TN057-17PC,635.00,4.4800,1.77000,10319.64,4.48,10476.27,304.22,,,,,,,,,,,,,
,TN057-17PC,637.00,2.6000,-0.27000,10335.96,2.60,10492.53,303.79,,,,,,,,,,,,,
,TN057-17PC,639.00,3.6900,0.81000,10352.00,3.69,10508.79,303.30,,,,,,,,,,,,,
,TN057-17PC,642.00,2.4600,-0.22000,10377.00,2.46,10533.18,302.48,,,,,,,,,,,,,
,TN057-17PC,644.00,5.4100,2.87000,10393.09,5.41,10549.44,301.87,,,,,,,,,,,,,
,TN057-17PC,646.00,5.3400,2.73000,10409.00,5.34,10565.70,301.21,,,,,,,,,,,,,
,TN057-17PC,648.00,3.4500,0.06000,10425.00,3.45,10581.95,300.50,,,,,,,,,,,,,
,TN057-17PC,651.00,4.1100,1.70000,10450.00,4.11,10606.34,299.33,,,,,,,,,,,,,
,TN057-17PC,653.00,3.7900,0.79000,10466.55,3.79,10622.60,298.49,,,,,,,,,,,,,
,TN057-17PC,655.00,5.8100,3.14000,10482.00,5.81,10638.86,297.60,,,,,,,,,,,,,
,TN057-17PC,662.00,3.0000,-0.25000,10540.00,3.00,10695.76,294.05,,,,,,,,,,,,,
,TN057-17PC,671.00,4.9500,2.80000,10613.45,4.95,10768.91,288.48,,,,,,,,,,,,,
,TN057-17PC,680.00,4.1200,1.73000,10686.91,4.12,10842.05,281.72,,,,,,,,,,,,,
,TN057-17PC,689.00,6.8600,4.34000,10760.36,6.86,10915.18,273.67,,,,,,,,,,,,,
