,,Proxy depth,Published Proxy,Published age,Published Temperature,Age model error,,,,,,,,,,,,,,,
Unique ID,,(cm),Temperature Anomaly (deg C),(yr BP),(deg C),"(yr, 1¦Ò)",,,,,,,,,,,,,,,
,,2300.00,-1.0800,495.0000,-1.0800,9.9,,,,,,,,,,,,,,,
,,2400.00,-1.3900,523.0000,-1.3900,10.5,,,,,,,,,,,,,,,
,,2500.00,-1.6100,552.0000,-1.6100,11.0,,,,,,,,,,,,,,,
,,2600.00,-0.9000,581.0000,-0.9000,11.6,,,,,,,,,,,,,,,
,,2700.00,-0.6000,609.0000,-0.6000,12.2,,,,,,,,,,,,,,,
,,2800.00,-0.0200,637.0000,-0.0200,12.7,,,,,,,,,,,,,,,
,,2900.00,-0.1800,665.0000,-0.1800,13.3,,,,,,,,,,,,,,,
,,3000.00,-1.2300,695.0000,-1.2300,13.9,,,,,,,,,,,,,,,
,,3100.00,-1.5400,726.0000,-1.5400,14.5,,,,,,,,,,,,,,,
,,3200.00,-0.8500,757.0000,-0.8500,15.1,,,,,,,,,,,,,,,
,,3300.00,-0.1000,788.0000,-0.1000,15.8,,,,,,,,,,,,,,,
,,3400.00,-0.1700,817.0000,-0.1700,16.3,,,,,,,,,,,,,,,
,,3500.00,-0.7800,848.0000,-0.7800,17.0,,,,,,,,,,,,,,,
,,3600.00,-0.7800,881.0000,-0.7800,17.6,,,,,,,,,,,,,,,
,,3700.00,-0.1700,912.0000,-0.1700,18.2,,,,,,,,,,,,,,,
,,3800.00,-0.2500,944.0000,-0.2500,18.9,,,,,,,,,,,,,,,
,,3900.00,-0.2800,976.0000,-0.2800,19.5,,,,,,,,,,,,,,,
,,4000.00,-0.8100,1009.0000,-0.8100,20.2,,,,,,,,,,,,,,,
,,4100.00,-0.0500,1042.0000,-0.0500,20.8,,,,,,,,,,,,,,,
,,4200.00,0.2700,1074.0000,0.2700,21.5,,,,,,,,,,,,,,,
,,4300.00,-0.8300,1107.0000,-0.8300,22.1,,,,,,,,,,,,,,,
,,4400.00,-0.6500,1142.0000,-0.6500,22.8,,,,,,,,,,,,,,,
,,4500.00,-0.2700,1176.0000,-0.2700,23.5,,,,,,,,,,,,,,,
,,4600.00,-0.6500,1211.0000,-0.6500,24.2,,,,,,,,,,,,,,,
,,4700.00,-1.4800,1247.0000,-1.4800,24.9,,,,,,,,,,,,,,,
,,4800.00,-1.6400,1285.0000,-1.6400,25.7,,,,,,,,,,,,,,,
,,4900.00,-0.4000,1321.0000,-0.4000,26.4,,,,,,,,,,,,,,,
,,5000.00,0.3300,1356.0000,0.3300,27.1,,,,,,,,,,,,,,,
,,5100.00,-0.0500,1390.0000,-0.0500,27.8,,,,,,,,,,,,,,,
,,5200.00,-0.1300,1426.0000,-0.1300,28.5,,,,,,,,,,,,,,,
,,5300.00,-0.0300,1461.0000,-0.0300,29.2,,,,,,,,,,,,,,,
,,5400.00,-0.4600,1497.0000,-0.4600,29.9,,,,,,,,,,,,,,,
,,5500.00,-1.0000,1535.0000,-1.0000,30.7,,,,,,,,,,,,,,,
,,5600.00,-0.9600,1573.0000,-0.9600,31.5,,,,,,,,,,,,,,,
,,5700.00,-1.3300,1612.0000,-1.3300,32.2,,,,,,,,,,,,,,,
,,5800.00,-1.5100,1652.0000,-1.5100,33.0,,,,,,,,,,,,,,,
,,5900.00,-0.8800,1692.0000,-0.8800,33.8,,,,,,,,,,,,,,,
,,6000.00,-1.0600,1732.0000,-1.0600,34.6,,,,,,,,,,,,,,,
,,6100.00,-1.2100,1772.0000,-1.2100,35.4,,,,,,,,,,,,,,,
,,6200.00,-1.2400,1812.0000,-1.2400,36.2,,,,,,,,,,,,,,,
,,6300.00,-0.9600,1853.0000,-0.9600,37.1,,,,,,,,,,,,,,,
,,6400.00,-0.5300,1893.0000,-0.5300,37.9,,,,,,,,,,,,,,,
,,6500.00,0.1500,1931.0000,0.1500,38.6,,,,,,,,,,,,,,,
,,6600.00,-0.2800,1970.0000,-0.2800,39.4,,,,,,,,,,,,,,,
,,6700.00,-0.4500,2009.0000,-0.4500,40.2,,,,,,,,,,,,,,,
,,6800.00,-0.3800,2049.0000,-0.3800,41.0,,,,,,,,,,,,,,,
,,6900.00,-0.5300,2089.0000,-0.5300,41.8,,,,,,,,,,,,,,,
,,7000.00,-0.6100,2129.0000,-0.6100,42.6,,,,,,,,,,,,,,,
,,7100.00,-0.9500,2171.0000,-0.9500,43.4,,,,,,,,,,,,,,,
,,7200.00,-0.7300,2212.0000,-0.7300,44.2,,,,,,,,,,,,,,,
,,7300.00,0.1200,2253.0000,0.1200,45.1,,,,,,,,,,,,,,,
,,7400.00,1.1600,2291.0000,1.1600,45.8,,,,,,,,,,,,,,,
,,7500.00,-0.9800,2331.0000,-0.9800,46.6,,,,,,,,,,,,,,,
,,7600.00,-1.4400,2374.0000,-1.4400,47.5,,,,,,,,,,,,,,,
,,7700.00,-0.7300,2418.0000,-0.7300,48.4,,,,,,,,,,,,,,,
,,7800.00,-0.6300,2460.0000,-0.6300,49.2,,,,,,,,,,,,,,,
,,7900.00,0.3000,2501.0000,0.3000,50.0,,,,,,,,,,,,,,,
,,8000.00,-0.2700,2542.0000,-0.2700,50.8,,,,,,,,,,,,,,,
,,8100.00,-1.3600,2585.0000,-1.3600,51.7,,,,,,,,,,,,,,,
,,8200.00,-0.1700,2628.0000,-0.1700,52.6,,,,,,,,,,,,,,,
,,8300.00,-0.0200,2670.0000,-0.0200,53.4,,,,,,,,,,,,,,,
,,8400.00,-1.1900,2713.0000,-1.1900,54.3,,,,,,,,,,,,,,,
,,8500.00,-1.9700,2760.0000,-1.9700,55.2,,,,,,,,,,,,,,,
,,8600.00,-0.6100,2805.0000,-0.6100,56.1,,,,,,,,,,,,,,,
,,8700.00,0.5800,2847.0000,0.5800,56.9,,,,,,,,,,,,,,,
,,8800.00,-0.3800,2889.0000,-0.3800,57.8,,,,,,,,,,,,,,,
,,8900.00,-1.3400,2934.0000,-1.3400,58.7,,,,,,,,,,,,,,,
,,9000.00,-1.4100,2980.0000,-1.4100,59.6,,,,,,,,,,,,,,,
,,9100.00,-0.7300,3026.0000,-0.7300,60.5,,,,,,,,,,,,,,,
,,9200.00,-0.2500,3070.0000,-0.2500,61.4,,,,,,,,,,,,,,,
,,9300.00,-0.5300,3114.0000,-0.5300,62.3,,,,,,,,,,,,,,,
,,9400.00,-0.0800,3158.0000,-0.0800,63.2,,,,,,,,,,,,,,,
,,9500.00,0.1500,3201.0000,0.1500,64.0,,,,,,,,,,,,,,,
,,9600.00,-0.4300,3245.0000,-0.4300,64.9,,,,,,,,,,,,,,,
,,9700.00,-0.6100,3289.0000,-0.6100,65.8,,,,,,,,,,,,,,,
,,9800.00,-0.3000,3334.0000,-0.3000,66.7,,,,,,,,,,,,,,,
,,9900.00,-0.1300,3379.0000,-0.1300,67.6,,,,,,,,,,,,,,,
,,10000.00,0.2200,3422.0000,0.2200,68.4,,,,,,,,,,,,,,,
,,10100.00,0.1700,3466.0000,0.1700,69.3,,,,,,,,,,,,,,,
,,10200.00,-0.9100,3511.0000,-0.9100,70.2,,,,,,,,,,,,,,,
,,10300.00,-0.9000,3558.0000,-0.9000,71.2,,,,,,,,,,,,,,,
,,10400.00,0.3000,3603.0000,0.3000,72.1,,,,,,,,,,,,,,,
,,10500.00,0.6500,3646.0000,0.6500,72.9,,,,,,,,,,,,,,,
,,10600.00,0.5800,3689.0000,0.5800,73.8,,,,,,,,,,,,,,,
,,10700.00,0.0300,3732.0000,0.0300,74.6,,,,,,,,,,,,,,,
,,10800.00,-0.6300,3778.0000,-0.6300,75.6,,,,,,,,,,,,,,,
,,10900.00,-0.4600,3824.0000,-0.4600,76.5,,,,,,,,,,,,,,,
,,11000.00,0.0000,3870.0000,0.0000,77.4,,,,,,,,,,,,,,,
,,11100.00,-0.2300,3915.0000,-0.2300,78.3,,,,,,,,,,,,,,,
,,11200.00,-0.6600,3962.0000,-0.6600,79.2,,,,,,,,,,,,,,,
,,11300.00,-0.7300,4009.0000,-0.7300,80.2,,,,,,,,,,,,,,,
,,11400.00,-0.7500,4057.0000,-0.7500,81.1,,,,,,,,,,,,,,,
,,11500.00,-0.9100,4104.0000,-0.9100,82.1,,,,,,,,,,,,,,,
,,11600.00,-1.0900,4153.0000,-1.0900,83.1,,,,,,,,,,,,,,,
,,11700.00,-1.0000,4202.0000,-1.0000,84.0,,,,,,,,,,,,,,,
,,11800.00,-0.5300,4250.0000,-0.5300,85.0,,,,,,,,,,,,,,,
,,11900.00,0.5500,4295.0000,0.5500,85.9,,,,,,,,,,,,,,,
,,12000.00,1.1300,4339.0000,1.1300,86.8,,,,,,,,,,,,,,,
,,12100.00,1.1300,4381.0000,1.1300,87.6,,,,,,,,,,,,,,,
,,12200.00,1.1300,4423.0000,1.1300,88.5,,,,,,,,,,,,,,,
,,12300.00,1.1300,4466.0000,1.1300,89.3,,,,,,,,,,,,,,,
,,12400.00,1.1300,4509.0000,1.1300,90.2,,,,,,,,,,,,,,,
,,12500.00,0.8800,4552.0000,0.8800,91.0,,,,,,,,,,,,,,,
,,12600.00,0.2000,4596.0000,0.2000,91.9,,,,,,,,,,,,,,,
,,12700.00,-0.3300,4642.0000,-0.3300,92.8,,,,,,,,,,,,,,,
,,12800.00,-0.8800,4690.0000,-0.8800,93.8,,,,,,,,,,,,,,,
,,12900.00,-0.5800,4739.0000,-0.5800,94.8,,,,,,,,,,,,,,,
,,13000.00,0.2500,4786.0000,0.2500,95.7,,,,,,,,,,,,,,,
,,13100.00,0.0000,4831.0000,0.0000,96.6,,,,,,,,,,,,,,,
,,13200.00,-1.1400,4880.0000,-1.1400,97.6,,,,,,,,,,,,,,,
,,13300.00,-0.6600,4929.0000,-0.6600,98.6,,,,,,,,,,,,,,,
,,13400.00,-0.3600,4977.0000,-0.3600,99.5,,,,,,,,,,,,,,,
,,13500.00,-0.6600,5025.0000,-0.6600,100.5,,,,,,,,,,,,,,,
,,13600.00,0.1300,5072.0000,0.1300,101.4,,,,,,,,,,,,,,,
,,13700.00,0.1800,5118.0000,0.1800,102.4,,,,,,,,,,,,,,,
,,13800.00,-0.3800,5165.0000,-0.3800,103.3,,,,,,,,,,,,,,,
,,13900.00,-0.2200,5212.0000,-0.2200,104.2,,,,,,,,,,,,,,,
,,14000.00,0.2800,5259.0000,0.2800,105.2,,,,,,,,,,,,,,,
,,14100.00,0.1000,5305.0000,0.1000,106.1,,,,,,,,,,,,,,,
,,14200.00,0.0800,5351.0000,0.0800,107.0,,,,,,,,,,,,,,,
,,14300.00,0.5000,5397.0000,0.5000,107.9,,,,,,,,,,,,,,,
,,14400.00,0.5000,5442.0000,0.5000,108.8,,,,,,,,,,,,,,,
,,14500.00,0.2000,5488.0000,0.2000,109.8,,,,,,,,,,,,,,,
,,14600.00,0.0200,5534.0000,0.0200,110.7,,,,,,,,,,,,,,,
,,14700.00,0.0800,5581.0000,0.0800,111.6,,,,,,,,,,,,,,,
,,14800.00,0.0300,5627.0000,0.0300,112.5,,,,,,,,,,,,,,,
,,14900.00,-0.0600,5674.0000,-0.0600,113.5,,,,,,,,,,,,,,,
,,15000.00,-0.1500,5721.0000,-0.1500,114.4,,,,,,,,,,,,,,,
,,15100.00,-0.2500,5769.0000,-0.2500,115.4,,,,,,,,,,,,,,,
,,15200.00,-0.2200,5816.0000,-0.2200,116.3,,,,,,,,,,,,,,,
,,15300.00,0.1500,5863.0000,0.1500,117.3,,,,,,,,,,,,,,,
,,15400.00,0.4500,5909.0000,0.4500,118.2,,,,,,,,,,,,,,,
,,15500.00,-0.1300,5955.0000,-0.1300,119.1,,,,,,,,,,,,,,,
,,15600.00,-0.7300,6004.0000,-0.7300,120.1,,,,,,,,,,,,,,,
,,15700.00,-0.2100,6052.0000,-0.2100,121.0,,,,,,,,,,,,,,,
,,15800.00,0.3200,6099.0000,0.3200,122.0,,,,,,,,,,,,,,,
,,15900.00,-0.1700,6145.0000,-0.1700,122.9,,,,,,,,,,,,,,,
,,16000.00,-0.3300,6193.0000,-0.3300,123.9,,,,,,,,,,,,,,,
,,16100.00,0.0900,6241.0000,0.0900,124.8,,,,,,,,,,,,,,,
,,16200.00,0.2800,6287.0000,0.2800,125.7,,,,,,,,,,,,,,,
,,16300.00,-0.5500,6334.0000,-0.5500,126.7,,,,,,,,,,,,,,,
,,16400.00,-1.5900,6385.0000,-1.5900,127.7,,,,,,,,,,,,,,,
,,16500.00,-1.0900,6436.0000,-1.0900,128.7,,,,,,,,,,,,,,,
,,16600.00,-0.3100,6486.0000,-0.3100,129.7,,,,,,,,,,,,,,,
,,16700.00,-0.6200,6534.0000,-0.6200,130.7,,,,,,,,,,,,,,,
,,16800.00,-0.6500,6583.0000,-0.6500,131.7,,,,,,,,,,,,,,,
,,16900.00,0.3700,6631.0000,0.3700,132.6,,,,,,,,,,,,,,,
,,17000.00,0.3700,6677.0000,0.3700,133.5,,,,,,,,,,,,,,,
,,17100.00,-0.3600,6724.0000,-0.3600,134.5,,,,,,,,,,,,,,,
,,17200.00,-0.8400,6773.0000,-0.8400,135.5,,,,,,,,,,,,,,,
,,17300.00,-1.2800,6823.0000,-1.2800,136.5,,,,,,,,,,,,,,,
,,17400.00,-1.1400,6874.0000,-1.1400,137.5,,,,,,,,,,,,,,,
,,17500.00,-0.5800,6924.0000,-0.5800,138.5,,,,,,,,,,,,,,,
,,17600.00,-0.5900,6973.0000,-0.5900,139.5,,,,,,,,,,,,,,,
,,17700.00,-1.0500,7023.0000,-1.0500,140.5,,,,,,,,,,,,,,,
,,17800.00,-1.2000,7074.0000,-1.2000,141.5,,,,,,,,,,,,,,,
,,17900.00,-0.6300,7124.0000,-0.6300,142.5,,,,,,,,,,,,,,,
,,18000.00,0.0200,7172.0000,0.0200,143.4,,,,,,,,,,,,,,,
,,18100.00,-0.0400,7220.0000,-0.0400,144.4,,,,,,,,,,,,,,,
,,18200.00,-0.1100,7267.0000,-0.1100,145.3,,,,,,,,,,,,,,,
,,18300.00,-0.2900,7315.0000,-0.2900,146.3,,,,,,,,,,,,,,,
,,18400.00,-0.8100,7364.0000,-0.8100,147.3,,,,,,,,,,,,,,,
,,18500.00,-0.5800,7413.0000,-0.5800,148.3,,,,,,,,,,,,,,,
,,18600.00,0.0200,7462.0000,0.0200,149.2,,,,,,,,,,,,,,,
,,18700.00,-0.0300,7509.0000,-0.0300,150.2,,,,,,,,,,,,,,,
,,18800.00,0.4800,7555.0000,0.4800,151.1,,,,,,,,,,,,,,,
,,18900.00,-0.0200,7602.0000,-0.0200,152.0,,,,,,,,,,,,,,,
,,19000.00,0.0200,7649.0000,0.0200,153.0,,,,,,,,,,,,,,,
,,19100.00,-0.0400,7697.0000,-0.0400,153.9,,,,,,,,,,,,,,,
,,19200.00,-0.7200,7745.0000,-0.7200,154.9,,,,,,,,,,,,,,,
,,19300.00,-0.5700,7794.0000,-0.5700,155.9,,,,,,,,,,,,,,,
,,19400.00,-0.9000,7844.0000,-0.9000,156.9,,,,,,,,,,,,,,,
,,19500.00,-0.9300,7894.0000,-0.9300,157.9,,,,,,,,,,,,,,,
,,19600.00,-0.6900,7944.0000,-0.6900,158.9,,,,,,,,,,,,,,,
,,19700.00,-0.5400,7994.0000,-0.5400,159.9,,,,,,,,,,,,,,,
,,19800.00,-0.6400,8043.0000,-0.6400,160.9,,,,,,,,,,,,,,,
,,19900.00,0.3000,8091.0000,0.3000,161.8,,,,,,,,,,,,,,,
,,20000.00,2.0600,8135.0000,2.0600,162.7,,,,,,,,,,,,,,,
,,20100.00,0.5900,8178.0000,0.5900,163.6,,,,,,,,,,,,,,,
,,20200.00,-0.8700,8226.0000,-0.8700,164.5,,,,,,,,,,,,,,,
,,20300.00,-0.7800,8276.0000,-0.7800,165.5,,,,,,,,,,,,,,,
,,20400.00,-0.5500,8325.0000,-0.5500,166.5,,,,,,,,,,,,,,,
,,20500.00,-0.2100,8374.0000,-0.2100,167.5,,,,,,,,,,,,,,,
,,20600.00,-0.2600,8422.0000,-0.2600,168.4,,,,,,,,,,,,,,,
,,20700.00,-0.5200,8471.0000,-0.5200,169.4,,,,,,,,,,,,,,,
,,20800.00,-0.6500,8520.0000,-0.6500,170.4,,,,,,,,,,,,,,,
,,20900.00,-0.6800,8569.0000,-0.6800,171.4,,,,,,,,,,,,,,,
,,21000.00,-0.7300,8619.0000,-0.7300,172.4,,,,,,,,,,,,,,,
,,21100.00,-0.5600,8668.0000,-0.5600,173.4,,,,,,,,,,,,,,,
,,21200.00,0.3400,8716.0000,0.3400,174.3,,,,,,,,,,,,,,,
,,21300.00,0.1300,8763.0000,0.1300,175.3,,,,,,,,,,,,,,,
,,21400.00,-0.8100,8811.0000,-0.8100,176.2,,,,,,,,,,,,,,,
,,21500.00,-0.5300,8861.0000,-0.5300,177.2,,,,,,,,,,,,,,,
,,21600.00,-0.5400,8910.0000,-0.5400,178.2,,,,,,,,,,,,,,,
,,21700.00,-0.8800,8960.0000,-0.8800,179.2,,,,,,,,,,,,,,,
,,21800.00,-0.4800,9009.0000,-0.4800,180.2,,,,,,,,,,,,,,,
,,21900.00,-0.4100,9058.0000,-0.4100,181.2,,,,,,,,,,,,,,,
,,22000.00,-0.6000,9107.0000,-0.6000,182.1,,,,,,,,,,,,,,,
,,22100.00,-0.5100,9156.0000,-0.5100,183.1,,,,,,,,,,,,,,,
,,22200.00,-0.1300,9204.0000,-0.1300,184.1,,,,,,,,,,,,,,,
,,22300.00,0.2600,9252.0000,0.2600,185.0,,,,,,,,,,,,,,,
,,22400.00,0.0300,9298.0000,0.0300,186.0,,,,,,,,,,,,,,,
,,22500.00,-0.3900,9346.0000,-0.3900,186.9,,,,,,,,,,,,,,,
,,22600.00,-0.8200,9396.0000,-0.8200,187.9,,,,,,,,,,,,,,,
,,22700.00,-0.7000,9445.0000,-0.7000,188.9,,,,,,,,,,,,,,,
,,22800.00,-0.1600,9494.0000,-0.1600,189.9,,,,,,,,,,,,,,,
,,22900.00,-0.1600,9542.0000,-0.1600,190.8,,,,,,,,,,,,,,,
,,23000.00,0.4300,9589.0000,0.4300,191.8,,,,,,,,,,,,,,,
,,23100.00,0.5100,9635.0000,0.5100,192.7,,,,,,,,,,,,,,,
,,23200.00,-0.4600,9682.0000,-0.4600,193.6,,,,,,,,,,,,,,,
,,23300.00,-0.8000,9732.0000,-0.8000,194.6,,,,,,,,,,,,,,,
,,23400.00,-0.8500,9782.0000,-0.8500,195.6,,,,,,,,,,,,,,,
,,23500.00,-0.7400,9831.0000,-0.7400,196.6,,,,,,,,,,,,,,,
,,23600.00,-0.3600,9881.0000,-0.3600,197.6,,,,,,,,,,,,,,,
,,23700.00,-0.3700,9929.0000,-0.3700,198.6,,,,,,,,,,,,,,,
,,23800.00,-0.6500,9978.0000,-0.6500,199.6,,,,,,,,,,,,,,,
,,23900.00,-0.2800,10027.0000,-0.2800,200.5,,,,,,,,,,,,,,,
,,24000.00,-0.4700,10075.0000,-0.4700,201.5,,,,,,,,,,,,,,,
,,24100.00,-0.5800,10124.0000,-0.5800,202.5,,,,,,,,,,,,,,,
,,24200.00,0.3100,10172.0000,0.3100,203.4,,,,,,,,,,,,,,,
,,24300.00,0.5200,10218.0000,0.5200,204.4,,,,,,,,,,,,,,,
,,24400.00,-0.1800,10265.0000,-0.1800,205.3,,,,,,,,,,,,,,,
,,24500.00,-1.3000,10315.0000,-1.3000,206.3,,,,,,,,,,,,,,,
,,24600.00,-0.9700,10366.0000,-0.9700,207.3,,,,,,,,,,,,,,,
,,24700.00,-0.4300,10415.0000,-0.4300,208.3,,,,,,,,,,,,,,,
,,24800.00,-0.7600,10465.0000,-0.7600,209.3,,,,,,,,,,,,,,,
,,24900.00,-0.7700,10515.0000,-0.7700,210.3,,,,,,,,,,,,,,,
,,25000.00,-0.7900,10564.0000,-0.7900,211.3,,,,,,,,,,,,,,,
,,25100.00,-0.9000,10614.0000,-0.9000,212.3,,,,,,,,,,,,,,,
,,25200.00,-0.9600,10665.0000,-0.9600,213.3,,,,,,,,,,,,,,,
,,25300.00,-0.7000,10715.0000,-0.7000,214.3,,,,,,,,,,,,,,,
,,25400.00,-0.2600,10764.0000,-0.2600,215.3,,,,,,,,,,,,,,,
,,25500.00,-0.4400,10812.0000,-0.4400,216.2,,,,,,,,,,,,,,,
,,25600.00,-0.6200,10861.0000,-0.6200,217.2,,,,,,,,,,,,,,,
,,25700.00,-0.1500,10910.0000,-0.1500,218.2,,,,,,,,,,,,,,,
,,25800.00,-0.1200,10957.0000,-0.1200,219.1,,,,,,,,,,,,,,,
,,25900.00,-0.2300,11005.0000,-0.2300,220.1,,,,,,,,,,,,,,,
,,26000.00,0.0200,11053.0000,0.0200,221.1,,,,,,,,,,,,,,,
,,26100.00,0.0900,11100.0000,0.0900,222.0,,,,,,,,,,,,,,,
,,26200.00,0.7400,11146.0000,0.7400,222.9,,,,,,,,,,,,,,,
,,26300.00,0.8100,11191.0000,0.8100,223.8,,,,,,,,,,,,,,,
,,26400.00,-0.1800,11237.0000,-0.1800,224.7,,,,,,,,,,,,,,,
,,26500.00,-0.4800,11286.0000,-0.4800,225.7,,,,,,,,,,,,,,,
,,26600.00,-0.2700,11334.0000,-0.2700,226.7,,,,,,,,,,,,,,,
,,26700.00,-0.7300,11383.0000,-0.7300,227.7,,,,,,,,,,,,,,,
,,26800.00,-1.2200,11434.0000,-1.2200,228.7,,,,,,,,,,,,,,,
,,26900.00,-1.2900,11485.0000,-1.2900,229.7,,,,,,,,,,,,,,,
,,27000.00,-1.5700,11537.0000,-1.5700,230.7,,,,,,,,,,,,,,,
,,27100.00,-1.5900,11590.0000,-1.5900,231.8,,,,,,,,,,,,,,,
,,27200.00,-1.6100,11642.0000,-1.6100,232.8,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
