"","Title","First Author","Year","URL","_gddid"
"40","Portrait of a reference material: zircon production in the Middledale Gabbroic Diorite, Australia, and its implications for the TEMORA standard","Iles, Kieran A.","2015","http://www.sciencedirect.com/science/article/pii/S0009254115001187","5501296ce1382326932d718e"
"41","Gravity inversion predicts the nature of the Amundsen Basin and its continental borderlands near Greenland","Døssing, A.","2014","http://www.sciencedirect.com/science/article/pii/S0012821X14006323","54e4fb65e138237cc914ff42"
"42","Enargite concentrate processing by the combination of mechanochemical, hydrometallurgical and precipitation methods","Bujňáková,, Zdenka","2014","http://www.sciencedirect.com/science/article/pii/S030175161300238X","565f76c3cf58f148c57ec2d2"
"43","Paleomagnetism of the Lower Jurassic Lepáand Osta Arena formations, Argentine Patagonia","Vizán, Haroldo","1998","http://www.sciencedirect.com/science/article/pii/S0895981198000182","54c625ebe1382389c54c4f8e"
"44","Tectonically induced change in lake evolution recorded by seismites in the Eocene Green River Formation, Wyoming","Törő, Balázs","2015","http://doi.wiley.com/10.1111/ter.12150","57f66864cf58f11d0434bc52"
"45","Enhancing Phytoremediation Potential of Pennisetum clandestinum Hochst in Cadmium-Contaminated Soil Using Smoke-Water and Smoke-Isolated Karrikinolide","Okem, Ambrose","2015","http://www.tandfonline.com/doi/full/10.1080/15226514.2014.981245","5963b301cf58f121b28bffbd"
"46","Cheilostome bryozoan diversity from the southwest Atlantic region: Is Antarctica really isolated?","Figuerola, Blanca","2014","http://www.sciencedirect.com/science/article/pii/S1385110113001810","5678a430cf58f1b1878a9fc7"
"47","Cretaceous tectonic evolution of South China: A preliminary synthesis","Li, Jianhua","2014","http://www.sciencedirect.com/science/article/pii/S0012825214000567","550390b6e1382326932d80b1"
"48","Metallogeny, structural evolution, post-mineral cover distribution and exploration in concealed areas of the northern Chilean Andes","García, M.","2017","https://www.sciencedirect.com/science/article/pii/S0169136816301810","5a2c01a2cf58f13e3a4bc160"
"49","Metallogeny of Siberia: tectonic, geologic and metallogenic settings of selected significant deposits*","Seltmann, R.","2010","http://www.tandfonline.com/doi/abs/10.1080/08120099.2010.505277","58d3ea0ccf58f111d637fc27"
"50","Temporal variations in the influence of the subducting slab on Central Andean arc magmas: Evidence from boron isotope systematics","Jones, Rosemary E.","2014","http://www.sciencedirect.com/science/article/pii/S0012821X14006220","54e50221e138237cc914ff6e"
"51","Origins of ore-forming fluid and material of the quartz–vein type Mo deposits in the East Qinling–Dabie molybdenum belt: A case study of the Qianfanling Mo deposit","Gao, Yang","2018","https://www.sciencedirect.com/science/article/pii/S037567421730359X","5a21055ccf58f18a3170d221"
"52","Development of a compact EUV photometer for imaging the planetary magnetosphere","Yoshikawa, I.","2001","http://doi.wiley.com/10.1029/2000JA900081","56c0fc4bcf58f15c72c8f6c8"
"53","A high-resolution 40Ar/39Ar lava chronology and edifice construction history for Ruapehu volcano, New Zealand","Conway, Chris E.","2016","http://www.sciencedirect.com/science/article/pii/S0377027316302062","58bb2b16cf58f16631ba251c"
"54","High Resolution Linear Laser Absorption Spectroscopy-Review","Eng, R. S.","1982","http://www.tandfonline.com/doi/abs/10.1080/00387018208080887","5b2ace79cf58f126eaccbf7e"
"55","Implications of the fluid-inclusion motions in the Elder Creek porphyry copper system, Battle Mountain Mining District, Nevada","Gostyayeva, N. M.","1996","https://www.sciencebase.gov/catalog/item/4f4e49fde4b07f02db5f5eff","557b8fc7e138239225f86492"
"56","Re-Os isotopic constraints on the evolution of the Bangong-Nujiang Tethyan oceanic mantle, Central Tibet","Huang, Qi-Shuai","2015","http://www.sciencedirect.com/science/article/pii/S0024493715000821","54fb962ae138239936c6d5d9"
"57","Events and sea-level changes on Gondwana's margin: The Meguma Zone (Cambrian to Devonian) of Nova Scotia, Canada","SCHENK, PAUL E.","1991","http://dx.doi.org/10.1130/0016-7606(1991)103<0512:easlco>2.3.co;2","578e1afacf58f14f6cf3013f"
