BP	Vostok_shakun	Vostok_marcott	DomeF_marcott	DomeF_shakun	DomeC_shakun	Antarctica	SO136-GC11_shakun	SO136-GC11_marcott	MD97-2121	MD97-2020	Mount Honey	New Zealand	PC-6	KT92-17 Site 14	Composite MD01-2421; KR02-06 St A GC; KR02-06 St A MC	NW Pacific	GeoB 3313	GeoB 7139-2_marcott	GeoB 7139-2_shakun	ODP 1233_shakun	South America
5700	0.025937183	0.024245187	-0.166666667	-0.166666667	-0.432333646	-0.143096922	15.7398374	15.74569106	17.47260923	10.59397961	9.095438174	13.72951109	16.35522573	22.74427545	19.89357692	19.66435937	15.85096104	18.66951515	18.65757576		17.72601732
5800	0.020567376	0.018510638	-0.193333333	-0.193333333	-0.458481724	-0.161214075	15.77235772	15.77414634	17.49854387	10.59238926	9.062618722	13.74001118	16.35904762	22.72315167	20.00408958	19.69542962	15.8539583	18.69557576	18.68787879		17.74580428
5900	-0.089958592	-0.088623188	-0.22	-0.22	-0.468181818	-0.21735272	15.80487805	15.80260163	17.53252488	10.59651129	8.994958041	13.74629478	16.42240602	22.70202788	20.05798077	19.72747156	15.81663403	18.72163636	18.71818182		17.75215074
6000	-0.207580175	-0.206112731	-0.246666667	-0.246666667	-0.446672915	-0.270739831	15.83739837	15.83105691	17.56134615	10.60538192	8.945939567	13.75622458	16.47445783	22.6809041	20.10615385	19.75383859	15.74777536	18.74769697	18.74848485		17.74798573
6100	-0.275776398	-0.272981366	-0.273333333	-0.273333333	-0.450757576	-0.309236401	15.87083333	15.86041667	17.57000888	10.62650539	8.958189465	13.77719075	16.47944862	22.65978031	20.2087926	19.78267384	15.66628671	18.7682716	18.77160494		17.73538775
6200	-0.234722222	-0.238125	-0.3	-0.3	-0.522961575	-0.319161759	15.9125	15.89791667	17.58461538	10.63748645	8.888851864	13.78427407	16.51316774	22.63865653	20.17163462	19.77448629	15.62071937	18.78061728	18.78395062		17.72842909
6300	-0.281155015	-0.288723404	-0.293333333	-0.293333333	-0.577881912	-0.3468854	15.95416667	15.93541667	17.59247489	10.65053261	8.831359535	13.79279007	16.53186432	22.61753274	20.25446154	19.8012862	15.57708432	18.79296296	18.7962963		17.72211453
6400	-0.396358543	-0.401092437	-0.286666667	-0.286666667	-0.607765152	-0.395709893	15.99583333	15.97291667	17.61099464	10.68246344	8.790192441	13.8104801	16.553125	22.61112059	20.30965385	19.82463315		18.80530864	18.80864198		18.80697531
6500	-0.462698413	-0.462063492	-0.28	-0.28	-0.647402597	-0.4264329	16.03684211	16.01008772	17.62296296	10.69244158	8.740881074	13.82064309	16.58820513	22.67653584	20.37961538	19.88145212		18.81765432	18.82098765		18.81932099
6600	-0.538988095	-0.536021825	-0.273333333	-0.273333333	-0.744128788	-0.473161075	16.07192982	16.04429825	17.63740741	10.71376126	8.647986015	13.82307655	16.64937729	22.74195108	20.42249038	19.93793958		18.83	18.83333333		18.83166667
6700	-0.550151976	-0.549432624	-0.266666667	-0.266666667	-0.81875	-0.490333587	16.10701754	16.07850877	17.63745236	10.74044954	8.616468066	13.83597925	16.70714286	22.80736633	20.49989423	20.00480114		18.83969697	18.84545455		18.84257576
