BP,New Zealand
47300,14.00980392
47400,14.0611578
47500,14.10821662
47600,14.15023343
47700,14.19337068
47800,14.24939309
47900,14.3054155
48000,14.35816993
48100,14.40952381
48200,14.45938375
48300,14.50606909
48400,14.55275444
48500,14.59066293
48600,14.6280112
48700,14.67058824
48800,14.71727358
48900,14.75418425
49000,14.74656587
49100,14.73894749
49200,14.7375
49300,14.7375
49400,14.72620798
49500,14.69994748
49600,14.67526261
49700,14.68051471
49800,14.68576681
49900,14.70333508
50000,14.72696954
50100,14.75060399
50200,14.77423845
50300,14.7978729
50400,14.82867647
50500,14.86018908
50600,14.88891807
50700,14.91517857
50800,14.9375
50900,14.9375
51000,14.9375
51100,14.95772059
51200,14.98398109
51300,15.00910364
51400,15.03244631
51500,15.05592904
51600,15.09327731
51700,15.13062558
51800,15.15620915
51900,15.17488329
52000,15.19589169
52100,15.22390289
52200,15.2519141
52300,15.26774043
52400,15.28174603
52500,15.3003268
52600,15.32366947
52700,15.34495798
52800,15.34962652
52900,15.35429505
53000,15.35896359
53100,15.36363212
53200,15.35522876
53300,15.32254902
53400,15.28986928
53500,15.27077498
53600,15.25210084
53700,15.24169001
53800,15.23702148
53900,15.23039216
54000,15.21638655
54100,15.20238095
54200,15.19612512
54300,15.19145658
54400,15.19519141
54500,15.20919701
54600,15.22156863
54700,15.21223156
54800,15.20289449
54900,15.19171669
55000,15.17971188
55100,15.17887155
55200,15.20288115
55300,15.22689076
55400,15.25648259
55500,15.2864946
55600,15.31540616
55700,15.34341737
55800,15.37142857
55900,15.39943978
56000,15.42745098
56100,15.45546218
56200,15.48347339
56300,15.51148459
56400,15.5394958
56500,15.567507
56600,15.59551821
56700,15.62352941
56800,15.65154062
56900,15.67955182
57000,15.69747899
57100,15.68814192
57200,15.67880486
57300,15.66946779
57400,15.66013072
57500,15.65079365
57600,15.64145658
57700,15.63576097
57800,15.65443511
57900,15.67310924
58000,15.69178338
58100,15.71045752
58200,15.72913165
58300,15.74780579
58400,15.76647993
58500,15.75280112
58600,15.73879552
58700,15.72478992
58800,15.71078431
58900,15.69677871
59000,15.68277311
59100,15.66876751
59200,15.67063492
59300,15.67530345
59400,15.67997199
59500,15.68464052
59600,15.68930906
59700,15.69397759
59800,15.69864613
59900,15.7
60000,15.7
60100,15.7
60200,15.7
60300,15.7
60400,15.7
60500,15.7
60600,15.68403361
60700,15.65602241
60800,15.6280112
60900,15.6
61000,15.5719888
61100,15.54397759
61200,15.51596639
61300,15.47967437
61400,15.43240546
61500,15.38513655
61600,15.33786765
61700,15.29059874
61800,15.24332983
61900,15.19606092
62000,15.14879202
62100,15.10152311
62200,15.0542542
62300,14.99264706
